Year,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
2003,25,520.529469448,242.440834587,495.248678694,1134.51192641,251.600694532,889.421008021,7.5897054081,97.6896342436,649.247663771,38.1632839325
1997,37,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
1986,30,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
1987,29,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
1984,32,33.9169144189,224.87844132,279.328625347,152.896996334,59.4795819417,355.080333776,946.727205939,588.703087342,377.208108022,15.0048546109
1985,30,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
1982,38,50.5480562989,360.011815181,173.051752564,41.06158097,114.019267887,226.628701677,762.314631624,609.485133113,64.6584931401,3.40030870168
1983,28,9.19613420648,79.9493540935,540.380355419,117.471145639,355.376943711,191.057004546,954.079590434,163.594025212,95.8277224552,41.1177661913
1980,25,68.7941579146,37.5699452963,347.029675335,112.523751958,46.5613285115,194.165914263,1350.67440494,349.447232086,24.520634488,1.47585426342
1981,24,13.6534341766,84.0829254194,770.749348654,21.7206341488,79.9604506503,356.963841824,718.942847228,433.408135949,82.5065127028,0.788101631333
1988,28,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
1989,30,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
2014,55,1556.35377094,349.241329939,67.8631286107,835.692938211,560.388619685,543.281051046,35.6069671778,160.582414557,678.316643386,1014.00694459
2011,52,1205.70082855,698.231380155,445.634681908,599.355594442,255.281110424,793.731239888,88.1915239287,270.695030836,372.134060901,805.948986478
2010,41,1253.46410852,421.317762828,244.238938254,1068.34641967,393.079647961,517.956696097,26.966091965,264.004562561,204.257049489,1150.00674365
2013,48,1435.39449258,499.108101682,329.145568497,759.402833113,531.856954584,305.169715819,6.68781395768,174.302890443,514.136212852,1107.40498219
2012,48,1132.06720762,515.512065762,44.6674224355,825.880869966,566.30657043,628.053264833,8.95869140058,177.849717391,582.485544301,1074.43237824
2005,31,1094.17155324,562.102239371,161.768950053,852.872531483,593.892186703,912.116492931,3.26920658879,55.1185685441,337.055757716,508.043154353
1991,31,27.8001808919,357.030597022,447.538009763,383.083227024,58.0112766001,99.9206905966,841.326386472,146.811570293,1024.02740938,12.9258090674
1990,31,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
1993,43,81.9479787992,61.7661203669,953.720663013,587.161438013,140.411647625,144.895187802,416.937501815,58.457944672,667.511745509,3.51639236586
1992,31,109.991358927,391.458010141,380.179053447,558.483930626,64.8822925953,247.094766976,710.802841385,426.616524833,842.349199948,1.06879113965
1995,35,56.7037414091,196.784207626,1024.10846501,584.246934003,137.821547339,269.763938063,598.584201557,177.371171062,1051.04308803,48.5870335242
1994,39,84.9404824101,178.272795408,709.061749387,598.070067447,203.165378916,190.195358713,521.010459164,299.382980595,1079.3855587,11.1888375382
1979,27,49.4677879987,272.806448058,501.756304875,1.81476180494,13.165648685,125.685060542,1331.73072208,634.81734565,24.72230108,19.0691108691
1978,27,100.432293331,71.6261577127,473.204309935,103.314934032,11.8550647417,262.26643614,1335.0798112,707.21914987,61.4047866641,1.74365912414
1977,25,117.755345143,236.666558285,740.143974831,1.60296721502,4.60547363683,52.55692691,1308.4543556,596.876574807,34.6384324226,5.14229020131
1976,20,12.3064210491,237.798455585,684.57287847,3.94613754817,7.77693224883,246.892106644,524.373014558,816.052786429,176.529876613,0.04428990519
1975,23,2.33201167841,189.667426595,316.67647911,22.4360752264,108.205968628,255.816631735,807.473046142,395.979935844,10.7597292812,0.269507855404
1996,34,41.9105117142,130.371488257,943.446160966,524.760135477,412.259256241,394.158429088,477.487859383,73.4707938626,1055.43247293,47.410497011
1973,22,1.44848979798,19.5622810589,356.834392096,27.9723346966,10.0796357683,121.317902863,763.379162077,991.832339546,7.25517800968,3.94300132001
2002,30,460.881775437,129.495714666,522.652783162,672.582006082,321.707619235,441.365373254,13.0236702685,77.7771075505,284.058584177,149.364931885
1999,25,136.726002192,24.4368215583,320.079202689,682.212910653,845.817924759,831.038964467,513.554715709,251.953902408,797.346606911,1.91584770414
2000,31,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
2001,26,186.667031407,214.200263237,320.925835358,679.824283865,638.00178796,363.877612351,457.8925937,202.659976512,110.052479532,194.302573589
2006,36,588.170024525,529.151141824,254.265267459,987.298331139,539.331022933,1043.54284335,26.3855242675,246.387949864,336.437887162,811.639573193
2007,39,942.784015744,264.555503596,227.77898112,630.550200041,569.848808868,498.263736943,66.3232278537,36.2237302628,402.787704204,566.711605804
2004,29,1130.56674971,318.671939198,152.881798668,1064.79080769,649.851204326,369.969919561,34.3764441553,207.767547667,382.4564732,625.765187293
1998,32,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051,0.0442899051
2008,38,741.009407615,242.066226954,287.782248322,854.22028906,671.76577271,932.431557643,26.0176130081,81.5486804428,601.468892778,492.105894729
2009,39,773.334093873,855.964681883,455.202409885,522.656458522,72.7685148943,640.447771937,2.22479921653,123.766109648,627.798284262,1239.58746724
