Title,Conference,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49
"A reflection on call-by-value - Simon Peyton Jones Will Partain André Santos","ICFP 1996",0.0289783694,0.0289783694,19.5973785391,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,36.8876377465,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,1.5820162028,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,37.0488809892,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"Inductive, coinductive, and pointed types - Julia L. Lawall Harry G. Mairson","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,15.6837654531,0.0289783694,0.0289783694,0.0289783694,0.0289783694,11.4535818230,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,2.8316274480,0.0289783694,0.0289783694,0.0289783694,1.4482501909,53.7276669320,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"A new look at pattern matching in abstract data types - Brian T. Howard","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,1.5609596200,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,32.3222111374,0.0289783694,0.0289783694,0.0289783694,0.0289783694,1.6981555662,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,32.5345871541,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"Simplifying subtyping constraints - Pedro Palao Gostanza Ricardo Peña Manuel Núñez","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,9.9576301516,64.5778396893,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,11.3605605509,0.0289783694,126.1933659341,0.0289783694,12.3399287457,0.0289783694,0.0289783694,0.0289783694,0.0289783694,2.8463274087,0.0289783694,0.0289783694,0.0289783694,0.0289783694,8.6575679543,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,17.2986065206,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"Complexity of kernel Fun subtype checking - François Pottier","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,22.6977726126,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,48.3601841262,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"The semantics of Scheme with future - Giorgio Ghelli","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,15.3062837256,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,5.3879250978,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,3.7465143800,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,1.6751902742,0.0289783694
"First-class synchronization barriers - Luc Moreau","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,177.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"pHluid: the design of a parallel functional language implementation on workstations - Franklyn Turbak","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,348.7309177561,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,2.3270389827,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"Cogen in six lines - Cormac Flanagan Rishiyur S. Nikhil","ICFP 1996",1.8504628359,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,4.0950595268,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,11.1336739110,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,7.8151983144,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,57.2504972590,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
"A probabilistic approach to the problem of automatic selection of data representations - Peter J. Thiemann","ICFP 1996",0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,1.0839516978,4.9708244679,0.0289783694,0.0289783694,21.0321589425,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694,0.0289783694
