Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
1977,"POPL","Structuring - Eric C. R. Hehner",0.0296909103,10.6396559378,0.0296909103,0.0296909103,0.0296909103,0.0296909103,13.9220703952,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,2.5273463978,0.0296909103,0.0296909103
1977,"POPL","Programming language constructs for which it is impossible to obtain good hoare-like axiom systems - Edmund Melson Clarke, Jr.",0.0296909103,76.7015917744,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,18.3577900462,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103
1977,"POPL","Social processes and proofs of theorems and programs - Richard A. DeMillo, Richard J. Lipton, Alan J. Perlis",0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,5.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103
1977,"POPL","Minimal and optimal computations of recursive programs - Gérard Berry, Jean-Jacques Lévy",0.0296909103,8.3934798009,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,114.8082658919,0.0296909103,1.2169273689,0.0296909103,140.2669180398,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,10.4628634498
1977,"POPL","Threshold evaluation and the semantics of call by value, assignment and generic procedures - Bernard Lang",0.0296909103,21.8868936603,0.0296909103,0.0296909103,0.0296909103,0.0296909103,9.2179257491,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,4.9842533214
1977,"POPL","Abstract interpretation: a unified lattice model for static analysis of programs by construction or approximation of fixpoints - Patrick Cousot, Radhia Cousot",0.0296909103,0.0296909103,0.0296909103,0.0296909103,2.9128621101,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,47.6334779995,0.0296909103,0.0296909103,2.7546618765,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,16.0449137819,0.0296909103,2.9370605935,0.0296909103,29.8951691001
1977,"POPL","The equivalence problem for program schemata with nonintersecting loops - Harry R. Lewis",0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,7.6936232460,0.0296909103,0.0296909103,0.0296909103,26.4763661010,8.0770475791,0.0296909103,0.0296909103,21.8717267150,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103
1977,"POPL","Code-generation for machines with multiregister operations - A. V. Aho, S. C. Johnson, J. D. Ullman",0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,9.0784851856,0.0296909103,49.0973307723,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,33.9132567729,0.0296909103
1977,"POPL","A new strategy for code generation: the general purpose optimizing compiler - William Harrison",0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,1.9928246776,0.0296909103,0.0296909103,33.8095348036,0.0296909103,0.0296909103,1.6484238948,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,3.7935880648,0.0296909103,11.9040831105,0.0296909103,0.0296909103
1977,"POPL","Applications of high level control flow - Barry K. Rosen",0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,35.1468334778,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,0.0296909103,9.9125483427
