Title,Conference,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74
"A theory of weak bisimulation for core CML - Tyng-Ruey Chuang Wen L. Hwang","ICFP 1996",0.0346371867,204.5184365258,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.7028601695,1.2022312946,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.2148912644,0.0346371867,0.0346371867,0.0346371867,11.6651578020,3.8159228096,11.1589026576,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.3455304817,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,12.7493915157,0.0346371867,27.9730473463,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Functional back-ends within the lambda-sigma calculus - Amr Sabry Philip Wadler","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,18.7561166312,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,17.1017017692,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.2790097176,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,47.9005106113,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,12.1358472042,0.0346371867
"A provable time and space efficient implementation of NESL - William Ferreira Matthew Hennessy Alan Jeffrey","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,25.4172258180,0.0346371867,0.0346371867,0.0346371867,7.0990546094,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,4.5876311328,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Synchronous Kahn networks - Guy E. Blelloch John Greiner","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,8.9151134790,0.0346371867,0.0346371867,0.0346371867,26.9375886806,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.3182444401,0.0346371867,4.4705850903,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,6.2213102051,0.0346371867,1.6073797886,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.9443410141,2.9014836371,0.0346371867,0.0346371867,1.6928736225,0.0346371867,0.0346371867,0.0346371867,18.1486216326,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.9466608547,0.0346371867,0.0346371867,0.0346371867,0.0346371867,19.3114437959,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Enriching the lambda calculus with contexts: toward a theory of incremental program construction - Paul Caspi Marc Pouzet","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.0428326297,0.0346371867,0.0346371867,12.5389122988,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,4.9648610717,0.0346371867,3.1901943690,0.0346371867,0.0346371867,18.3398831847,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,11.6580614473,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.6885337976,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,6.8538186950,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Sharing code through first-class environments - Shinn-Der Lee Daniel P. Friedman","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.4760930413,0.0346371867,0.0346371867,0.0346371867,0.0346371867,10.9082590629,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,12.5379684438,6.1861399681,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,8.9387572498,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.5378225450,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,10.6574199961,0.0346371867
"Mixin modules - Christian Queinnec David de Roure","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,6.3037167694,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.9006002697,0.0346371867,0.0346371867,0.0346371867,5.0586203361,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,14.5466518145,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,2.0829958213,0.0346371867,6.1725780992,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.1772971969,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Lag, drag, void and use—heap profiling and space-efficient compilation revisited - Thérèse Hardin Luc Maranget Bruno Pagano","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.9407685073,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,6.2795626133,2.6388846248,0.0346371867,0.0346371867,0.0346371867,1.5620868868,0.0346371867,0.0346371867,30.7399489800,0.0346371867,0.0346371867,1.3397063566,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,39.9736829495,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.4640814576,4.1831377883,1.2729994838,0.0346371867,0.0346371867,1.1563341004,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,4.2652050173,0.0346371867,0.0346371867,2.6338846616,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"Static and dynamic partitioning of pointers as links and threads - Niklas Röjemo Colin Runciman","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,26.8582296030,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.5610027504,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.6349843613,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.4392614673,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.6797077517,0.0346371867,0.0346371867,0.0346371867
"Storage use analysis and its applications - David S. Wise Joshua Walgenbach","ICFP 1996",0.0346371867,2.4541397464,11.7462608690,0.0346371867,0.0346371867,27.1640284063,0.0346371867,1.3184882278,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,3.7493699375,0.0346371867,7.0476832104,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,7.3159101102,151.6607926781,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,6.1855479794,0.0346371867,0.0346371867,0.0346371867,1.2752899564,0.0346371867,0.0346371867,0.0346371867,10.3248487130,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,5.1732864061,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
"The role of lazy evaluation in amortized data structures - Manuel Serrano Marc Feeley","ICFP 1996",0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,24.8903019261,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,1.1789724473,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867,0.0346371867
