Year,FPCA # of papers,FPCA Topic 0,FPCA Topic 1,FPCA Topic 2,FPCA Topic 3,FPCA Topic 4,FPCA Topic 5,FPCA Topic 6,FPCA Topic 7,FPCA Topic 8,FPCA Topic 9,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,LFP # of papers,LFP Topic 0,LFP Topic 1,LFP Topic 2,LFP Topic 3,LFP Topic 4,LFP Topic 5,LFP Topic 6,LFP Topic 7,LFP Topic 8,LFP Topic 9,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA98ADDEND # of papers,OOPSLA98ADDEND Topic 0,OOPSLA98ADDEND Topic 1,OOPSLA98ADDEND Topic 2,OOPSLA98ADDEND Topic 3,OOPSLA98ADDEND Topic 4,OOPSLA98ADDEND Topic 5,OOPSLA98ADDEND Topic 6,OOPSLA98ADDEND Topic 7,OOPSLA98ADDEND Topic 8,OOPSLA98ADDEND Topic 9,OOPSLACOMPANION # of papers,OOPSLACOMPANION Topic 0,OOPSLACOMPANION Topic 1,OOPSLACOMPANION Topic 2,OOPSLACOMPANION Topic 3,OOPSLACOMPANION Topic 4,OOPSLACOMPANION Topic 5,OOPSLACOMPANION Topic 6,OOPSLACOMPANION Topic 7,OOPSLACOMPANION Topic 8,OOPSLACOMPANION Topic 9,OOPSLAECOOP # of papers,OOPSLAECOOP Topic 0,OOPSLAECOOP Topic 1,OOPSLAECOOP Topic 2,OOPSLAECOOP Topic 3,OOPSLAECOOP Topic 4,OOPSLAECOOP Topic 5,OOPSLAECOOP Topic 6,OOPSLAECOOP Topic 7,OOPSLAECOOP Topic 8,OOPSLAECOOP Topic 9,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
1991,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,29,287.767835294,287.767835294,87.9225561338,70.1651033058,121.749097149,287.767835294,182.116671158,287.767835294,172.347492697,287.767835294,0,,,,,,,,,,,0,,,,,,,,,,,24,57.546431204,57.546431204,11.6431173765,54.7129392885,23.769159841,57.546431204,29.7521054355,57.546431204,15.0880902146,57.546431204,28,26.926545989,26.926545989,1029.6527993,125.605862571,349.409027045,26.926545989,1677.65960892,26.926545989,416.689921351,26.926545989,31,36.2595365826,36.2595365826,170.060053221,52.9580702106,1518.67995836,36.2595365826,784.413881433,36.2595365826,691.486846769,36.2595365826
1990,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,32,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,33,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,29,0.0864236882759,0.0864236882759,0.0864236423448,0.0864236285379,0.0864236833793,0.0864236882759,14.2588355141,0.0864236882759,0.0864237263483,0.0864236882759,31,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
1993,33,41.1374691421,41.1374691421,674.427437642,64.0698507593,741.408747678,41.1374691421,756.626221801,41.1374691421,672.250691858,41.1374691421,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,40,248.794277625,248.794277625,16.375610349,15.8199483178,25.3435541451,248.794277625,28.0572971727,248.794277625,41.4964367315,248.794277625,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,29,8.13127107217,8.13127107217,1275.66793047,220.894475511,129.810919251,8.13127107217,1795.34627247,8.13127107217,290.729661093,8.13127107217,43,18.0056055639,18.0056055639,174.49956321,66.523080255,775.624415737,18.0056055639,1078.68851411,18.0056055639,931.384354647,18.0056055639
1992,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,33,16.7205452692,16.7205452692,862.534183268,174.311127199,779.416544402,16.7205452692,506.473147135,16.7205452692,1039.89014286,16.7205452692,120,103.081524851,103.081524851,14.7903098763,4.17408195307,4.03643923904,103.081524851,8.46479159866,103.081524851,15.2243212563,103.081524851,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,18.5401230777,18.5401230777,1079.99548799,238.926316337,100.206093051,18.5401230777,1804.22715832,18.5401230777,102.241897089,18.5401230777,31,16.2179999942,16.2179999942,383.26699512,192.823616259,1313.48203616,16.2179999942,814.006044293,16.2179999942,948.679414007,16.2179999942
1995,30,24.367572359,24.367572359,633.391607653,45.141169232,1064.68334246,24.367572359,888.442113022,24.367572359,1048.93480735,24.367572359,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,40,259.989240088,259.989240088,66.1250399328,38.2909250938,5.12156407973,259.989240088,137.986754174,259.989240088,102.568751123,259.989240088,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,4.26594156222,4.26594156222,1323.45119347,322.958867701,52.6365050341,4.26594156222,2177.09760515,4.26594156222,216.640355678,4.26594156222,35,20.527032591,20.527032591,442.141367544,182.961148658,1284.81104463,20.527032591,1228.64079237,20.527032591,904.246147254,20.527032591
1994,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,53.0171687813,53.0171687813,1186.44718478,221.879997389,440.573201725,53.0171687813,789.484923978,53.0171687813,1157.8264164,53.0171687813,37,224.50808851,224.50808851,58.7594354898,135.466792517,13.3498967803,224.50808851,35.7093342005,224.50808851,120.578873847,224.50808851,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,3.19176801759,3.19176801759,1384.5655292,169.905636878,175.155274479,3.19176801759,2064.05138092,3.19176801759,273.194239941,3.19176801759,39,19.759300477,19.759300477,380.900667234,131.883245672,1291.82484402,19.759300477,812.845309138,19.759300477,1158.84443562,19.759300477
1979,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,27,10.0636681109,10.0636681109,116.451048418,106.172817797,1426.20331743,10.0636681109,1203.28728139,10.0636681109,73.0240218433,10.0636681109
1978,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,27,34.928547083,34.928547083,354.553146322,18.2868194712,1232.60674402,34.928547083,1150.96421895,34.928547083,197.514274368,34.928547083
1977,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,25,34.9404344484,34.9404344484,227.077442599,67.5594312608,1327.64118665,34.9404344484,1288.91318949,34.9404344484,12.9708125968,34.9404344484
1976,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,20,23.1464507452,23.1464507452,382.935255573,45.7790001527,761.321139316,23.1464507452,1299.16271016,23.1464507452,105.783875913,23.1464507452
