Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
2010,"ICFPEE","Cover Art - ",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Title Page i - ",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Application of WinCC Software to Building Automation System - Zhao Xiu-fen Wang Hong-yu",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","A Service-Oriented Modeling of Production Forecasting - Jinfa Shi Hejun Jiao",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Universal Design Research Based on Make the Best Use of Things in an Aging Society - Yongxiang Liu Feng Wen",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Indoor Analogue Tests for High Temperature Heat Pump and Its Industrial Application - Yongchen Song Wenzhe Yang Zhiguo Wang Xinyao Xiang",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Modelling and Application of Secondary Circuit Signals for Power Grid Intelligent Alarm - Kang Taifeng Wu Wenchuan Sun Hongbin Zhang Boming Li Jingxiong",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","A Hybrid Fault Event Detection Algorithm Using Fault Recorder Data - Kang Taifeng Wu Wenchuan Sun Hongbin Zhang Boming Qian Xiao",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","A Variable N Synchronous Sampling Method for Grid Aperiodic Harmonic Detection and Analysis - Hui Zheng Zhao Chen Dongkai Peng Tianhao Tang",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Developing an Integrated Simulation Model to Design a 100% Renewable Building Energy System - Yangang Xing Neil Hewitt Philip Griffiths",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Evaluation of IRAN Dispatching Status for Next 10 Years with Neural Network - Seyed Siavash Karimi Madahi Saeid Amir Araghi Farzad Razavi Ali Asghar Ghadimi",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Method and Practice about Sequencing the Urban Rail Transit Construction - Xinhua Liu Zhuangzhi Sun Chun-Fu Shao Chun-Jiao Dong Chengxiang Zhuge",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Title Page iii - ",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","The Difference of the Gaseous Fractions by Copyrolysis of Biomass and Polyolefin - Yanli Cui Teng Lai Jianwei Mao Yongping Yu",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
2010,"ICFPEE","Fault Prognosis of Steam Turbine Generator Set by Trend Analysis of Frequency - Changfeng Yan Hao Zhang Lixiao Wu",0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843,0.0864234843
