Year,FPCA # of papers,FPCA Topic 0,FPCA Topic 1,FPCA Topic 2,FPCA Topic 3,FPCA Topic 4,FPCA Topic 5,FPCA Topic 6,FPCA Topic 7,FPCA Topic 8,FPCA Topic 9,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,LFP # of papers,LFP Topic 0,LFP Topic 1,LFP Topic 2,LFP Topic 3,LFP Topic 4,LFP Topic 5,LFP Topic 6,LFP Topic 7,LFP Topic 8,LFP Topic 9,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA98ADDEND # of papers,OOPSLA98ADDEND Topic 0,OOPSLA98ADDEND Topic 1,OOPSLA98ADDEND Topic 2,OOPSLA98ADDEND Topic 3,OOPSLA98ADDEND Topic 4,OOPSLA98ADDEND Topic 5,OOPSLA98ADDEND Topic 6,OOPSLA98ADDEND Topic 7,OOPSLA98ADDEND Topic 8,OOPSLA98ADDEND Topic 9,OOPSLACOMPANION # of papers,OOPSLACOMPANION Topic 0,OOPSLACOMPANION Topic 1,OOPSLACOMPANION Topic 2,OOPSLACOMPANION Topic 3,OOPSLACOMPANION Topic 4,OOPSLACOMPANION Topic 5,OOPSLACOMPANION Topic 6,OOPSLACOMPANION Topic 7,OOPSLACOMPANION Topic 8,OOPSLACOMPANION Topic 9,OOPSLAECOOP # of papers,OOPSLAECOOP Topic 0,OOPSLAECOOP Topic 1,OOPSLAECOOP Topic 2,OOPSLAECOOP Topic 3,OOPSLAECOOP Topic 4,OOPSLAECOOP Topic 5,OOPSLAECOOP Topic 6,OOPSLAECOOP Topic 7,OOPSLAECOOP Topic 8,OOPSLAECOOP Topic 9,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
2003,0,,,,,,,,,,,27,1076.03594297,296.343371253,1.49565122774,913.63744775,1749.9840003,1.49565122774,1.49565122774,235.503259802,98.4183684816,100.333262499,0,,,,,,,,,,,0,,,,,,,,,,,101,175.619675978,1049.46989594,5.27383609291,10.6443468042,7.07861888928,5.27383609291,5.27383609291,35.3690387928,62.7960040655,35.1074343818,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,258.204890503,130.567453457,0.0520384528036,53.0964299712,407.708680165,0.0520384528036,0.0520384528036,1094.52945053,1002.73525998,2350.91496169,25,243.162349495,119.379604103,21.0351144304,638.642218788,1396.23716174,21.0351144304,21.0351144304,836.258793542,635.955303611,393.779609948
1997,0,,,,,,,,,,,42,292.216373835,146.560976664,37.0086582951,1574.23409376,46.2558163678,37.0086582951,37.0086582951,157.279983852,136.191188344,198.089310136,0,,,,,,,,,,,0,,,,,,,,,,,32,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,31,552.816592354,126.447561931,3.12688310265,368.916638732,4.11874874783,3.12688310265,3.12688310265,496.994699735,218.064023683,2449.91050228,37,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512
1986,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,32,924.288648746,146.779665345,49.2403948641,1310.05431521,22.0821452024,49.2403948641,49.2403948641,98.2418573222,195.661454273,547.44111382,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512
1987,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,44,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,29,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512
1984,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,37,843.839029081,197.939749138,84.5551490733,953.72816209,0.734333009986,84.5551490733,84.5551490733,112.699157576,248.977329554,342.072311978,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,32,466.768783873,305.333095275,90.0121907864,1179.81766648,155.223471638,90.0121907864,90.0121907864,338.557074638,64.557809352,253.007160894
1985,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,30,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512,0.0520384512
1982,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,29,750.430562125,161.9338262,61.4867824259,869.200660358,7.73184705733,61.4867824259,61.4867824259,31.7291598269,192.076624563,338.129770896,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,38,231.455815541,291.783760543,40.709407053,919.376171806,57.3639781396,40.709407053,40.709407053,433.632192452,116.317088479,233.199998498
1983,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,28,239.634761721,287.550558873,21.6265205362,925.259283242,93.8925728092,21.6265205362,21.6265205362,485.072388851,25.3420515086,426.496348756
1980,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,31,1089.67336306,446.116576731,27.073867705,592.080241496,0.0520384533935,27.073867705,27.073867705,23.6779484559,167.287081895,245.250240988,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,25,163.404380822,176.906272139,127.461227447,995.002957407,241.849279757,127.461227447,127.461227447,438.044620432,9.75795614145,125.491235473
1981,26,136.380648223,200.638343231,60.8483971921,1088.15154493,12.531588735,60.8483971921,60.8483971921,55.6348367531,27.1701212025,331.083494473,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,24,239.541041038,200.46950149,34.8536242881,924.881945478,87.2086954358,34.8536242881,34.8536242881,536.713638155,66.3165287072,403.161494677
