Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA Topic 10,OOPSLA Topic 11,OOPSLA Topic 12,OOPSLA Topic 13,OOPSLA Topic 14,OOPSLA Topic 15,OOPSLA Topic 16,OOPSLA Topic 17,OOPSLA Topic 18,OOPSLA Topic 19,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19
2003,26,1.48499792982,1.1723454382,3.75469562097,1.99406540263,9.26943605683,0.0318900597,0.0795662099808,1.95441383306,2.41145837592,29.107453148,1.78720883713,1.74620912522,4.16823248729,0.0318900597,0.616416881023,3.92289314774,5.76759697605,5.9528516533,2.03351031611,2.23528501978,100,2.07113047343,2.16356582617,0.154230178318,0.576013994641,0.528936696411,0.142220677144,0.791195291603,5.90535830293,0.481761899446,0.052406748208,1.01135334314,2.01331288595,7.31367635292,0.531703228087,8.39547390051,0.186987032795,0.29130393574,1.9168757955,8.0186651351,11.4416294959,27,14.7452915609,1.97302767021,0.183319079911,21.1711470793,0.0318900597,4.251543181,4.43504561599,2.82337766763,7.04385182776,3.48204133899,7.5765196072,7.43640173272,0.155456477567,11.908940428,2.99383185911,0.0318900597,6.2260943595,2.13012401997,2.30241380524,0.0318900597,24,0.685378845467,1.03328430543,0.733532916054,8.28333389645,5.52524012399,11.9949346998,8.5606163818,0.250573748913,4.56329846409,18.617643982,1.07737846021,4.63575013483,1.94073391742,0.193805541921,0.235709542379,3.82165070202,2.41022932706,1.93765945949,0.28279915995,0.187580917921
1986,0,,,,,,,,,,,,,,,,,,,,,49,4.7513330467,3.43090135616,1.0596005406,0.647143610131,2.70923967047,0.141030626608,8.1621410494,1.08512488877,0.441816574927,1.73989081366,0.399304149631,0.223946166667,10.5912647991,0.2612099909,0.580730618088,0.409870146337,1.37572347123,4.32201527088,1.33736031619,12.17223572,0,,,,,,,,,,,,,,,,,,,,,29,4.88823168762,0.519408085762,5.5899807452,3.39170254123,8.4706555484,1.50360227449,0.313999928817,1.63625131842,7.77192637092,7.6666067613,1.7180724552,5.19196943935,3.81493749731,0.5910757776,0.0318900597,3.70820904733,5.77764603093,4.89495398645,4.84785915284,0.481236278107
1987,0,,,,,,,,,,,,,,,,,,,,,15,0.165223393033,0.0318900597,0.0318900597,0.0318900597,0.0985567263667,0.0985567263667,0.165223392713,0.0318900597,0.165223393347,0.0318900597,0.0994112055933,0.0318900597,0.565223393033,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.0318900597,0.165223393033,1.1643689138,0,,,,,,,,,,,,,,,,,,,,,28,1.41817269952,0.0318900597,1.50248094339,0.371259347232,14.2964969095,0.492410611161,0.752272057029,0.0318900597,4.11389592883,7.91057852954,2.13807314747,0.0318900597,3.34154525154,0.0318900597,0.167689738829,9.9956764194,2.66122621546,3.04124424096,3.05462189028,0.288311310714
1984,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,31,2.29193291285,3.16864196268,6.52949965365,3.87883307908,4.0687966806,3.79256019859,0.738736512968,0.0318900597,2.91960465763,4.48698795252,2.70825719074,0.361032070194,1.05091450707,0.0318900597,0.0318900597,6.56667878444,0.188152915716,1.23392254838,3.14071401843,0.255575046674
1985,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,29,2.14325627658,2.15226097629,0.929244085921,2.7630348425,5.69939573014,0.657564976362,1.27254040519,1.73290599187,3.66258053556,11.0815687491,2.49838619631,0.572443691952,0.213286057855,0.430882839445,0.521337944583,4.21643431411,2.98800486207,3.83721466472,4.54391282127,0.0318900597
1982,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,37,3.50315447059,2.00486870974,3.45431988513,1.91616647264,4.5630064278,2.16898386531,0.0996423871351,0.812837226376,1.16377764281,0.724572355232,2.95842565771,1.86013616247,1.58782296512,0.215425997922,0.0318900597,8.44934380754,0.727940132714,2.25174124595,3.90840575758,1.66777239685
1983,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,1.58117224677,4.96269913796,2.4215702498,3.44086535503,8.00476379807,1.30876937217,2.06092702371,0.156187535633,26.4552910516,32.0747558299,4.61672338446,1.8485582936,13.7248262209,0.415664118556,0.200246684152,19.9874132706,4.17321092016,10.7798500012,2.55094500026,2.61410244004
1980,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,24,0.396161497438,0.510914074329,4.60599286267,0.334964946267,3.38826669927,0.477441312967,0.512552821304,1.6069553221,17.5924294443,6.87519032667,3.78804138995,8.86103686958,1.89581339614,0.416724819013,0.0318900597,22.6836258464,0.602253059742,8.54220455196,3.32081136702,0.277863860425
1981,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,23,1.06548844585,2.88345289439,4.84942955033,1.42106529385,5.37834940076,5.76071185274,1.23382254992,0.0318900597,9.65203532427,6.04489875005,4.9499945425,2.03668297498,8.99142267885,0.241516898478,0.117444370487,9.66043254912,1.68709730398,3.25131480505,2.28599331017,0.529540247104
1988,0,,,,,,,,,,,,,,,,,,,,,29,1.25586677723,7.63584148244,1.96257146853,0.0318900597,1.24819899692,0.2055239243,8.37627312357,2.00995394171,0.450917026738,0.731649656259,1.65384166826,0.0318900597,5.52224128668,1.13583309475,7.34095311056,0.630238823579,0.0318900597,3.62513219355,3.96662876732,11.6180518793,32,5.33843454831,1.47070066977,2.80818669688,10.4067736027,2.4866655597,0.977440091784,2.98567220956,0.489492870016,8.90537720458,1.20621052283,0.331195342084,1.23119245517,0.643224110022,4.64123662095,0.0318900597,1.2501184332,4.0965589274,2.1417995389,1.26313446747,0.901247262866,27,1.90483101824,4.01338975055,8.5123297079,3.19922474638,7.2698328628,2.72016507686,1.11254704776,0.0318900597,12.6466632462,10.1528759496,0.275527801367,0.0318900597,0.700401986689,0.0318900597,0.0318900597,9.56028619775,6.1504002694,0.881070735074,0.0318900597,0.230656350663
