Year,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9
2003,25,25.4611896001,223.825893866,365.552623817,25.4611896001,633.648962694,25.4611896001,379.664607914,25.4611896001,1172.52500219,1449.47434572
1997,37,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1986,30,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1987,29,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1984,32,112.797985489,930.610485109,418.321198735,112.797985489,24.3969334259,112.797985489,331.406791092,112.797985489,802.400864647,74.989229636
1985,30,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1982,38,78.0726082959,621.477097382,453.857885159,78.0726082959,75.7318012607,78.0726082959,134.022152921,78.0726082959,801.009927554,6.88373924693
1983,28,71.2388957615,657.760222847,677.028279144,71.2388957615,139.716613661,71.2388957615,27.7340627457,71.2388957615,682.763163014,78.1854130006
1980,25,58.7334252758,968.543251965,420.074976149,58.7334252758,33.4451536172,58.7334252758,21.8809185378,58.7334252758,804.441865164,49.5363280663
1981,24,21.0810525035,689.174409956,739.027379781,21.0810525035,11.0775361876,21.0810525035,46.3577277545,21.0810525035,987.915299366,4.99296487642
1988,28,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1989,30,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
2014,55,69.3651389383,541.165010697,118.094295759,69.3651389383,1915.89914145,69.3651389383,831.24296906,69.3651389383,347.012886423,1770.55224455
2011,52,72.457475884,343.0725883,269.941132811,72.457475884,2096.81929192,72.457475884,817.578581672,72.457475884,537.76273648,1179.99349835
2010,41,106.090730703,171.121521676,28.7492351539,106.090730703,2245.39230601,106.090730703,573.44236311,106.090730703,239.809875936,1860.85309186
2013,48,85.5035774883,346.940293357,93.9686129815,85.5035774883,2000.34602174,85.5035774883,358.949728,85.5035774883,470.794603772,2049.68929146
2012,48,109.897343189,221.889291959,236.434792972,109.897343189,1456.46580848,109.897343189,844.734132833,109.897343189,408.366823377,1948.82680556
2005,31,148.250158137,85.5285867692,145.920706631,148.250158137,1377.90143442,148.250158137,579.807850778,148.250158137,750.885392827,1547.45933256
1991,31,108.823743786,1213.75388078,593.32379417,108.823743786,42.3138646832,108.823743786,560.490605991,108.823743786,233.93912932,319.452202584
1990,31,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
1993,43,14.6100061758,738.69394239,815.491145231,14.6100061758,90.8259731175,14.6100061758,655.344126578,14.6100061758,304.633308617,452.991394896
1992,31,52.4202277891,1226.09297645,748.985324373,52.4202277891,164.472113426,52.4202277891,606.556688763,52.4202277891,302.190529958,475.041521442
1995,35,71.0248014237,1020.94977081,1054.80851279,71.0248014237,159.190521761,71.0248014237,748.641142433,71.0248014237,244.007401006,633.41106868
1994,39,60.0252132207,1120.7772238,618.927357122,60.0252132207,211.138806164,60.0252132207,675.471467472,60.0252132207,368.051948175,640.299308214
1979,27,24.6971484486,1121.44533301,1206.89093849,24.6971484486,99.4738911561,24.6971484486,25.6390352921,24.6971484486,422.837375995,0.0536194639481
1978,27,62.9627112683,1128.35706292,1053.30707674,62.9627112683,56.019512302,62.9627112683,118.341683046,62.9627112683,456.436060899,63.9276573254
1977,25,80.9823845448,1181.20840209,1372.83723866,80.9823845448,52.1322574841,80.9823845448,77.7210193871,80.9823845448,90.6541193372,0.053619464132
1976,20,14.3051537317,462.002285088,1310.78869745,14.3051537317,87.471205043,14.3051537317,238.788686128,14.3051537317,552.769108698,1.34559727203
1975,23,97.7010189199,487.541356724,597.455299212,97.7010189199,13.8241266174,97.7010189199,23.9470965911,97.7010189199,582.527566183,13.6105866384
1996,34,76.0023837769,801.106567749,706.519619672,76.0023837769,182.485715718,76.0023837769,1273.05042269,76.0023837769,207.820353436,625.808686115
1973,22,51.1809823401,878.458445136,471.330884242,51.1809823401,0.0536194638045,51.1809823401,25.8738502447,51.1809823401,710.338339944,12.9389443936
2002,30,37.2595942832,164.722741656,121.179004955,37.2595942832,540.838802607,37.2595942832,575.636000124,37.2595942832,438.991002315,1082.59693248
1999,25,127.489986824,849.650767703,291.688232184,127.489986824,67.286428156,127.489986824,1452.47889479,127.489986824,402.339792398,831.772132074
2000,31,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602,0.0536194602
2001,26,210.435286924,422.497920886,227.366965044,210.435286924,297.235190132,210.435286924,281.780265565,210.435286924,330.621954946,967.254288792
2006,36,62.4218165233,318.03758274,79.4810686319,62.4218165233,1207.18859711,62.4218165233,885.496525813,62.4218165233,906.900424951,1715.91139593
2007,39,108.770722584,199.437984746,150.555844074,108.770722584,1330.91215818,108.770722584,688.995290575,108.770722584,391.164513859,1009.77212821
2004,29,98.117780859,590.221430685,62.9665326604,98.117780859,1083.67308217,98.117780859,713.183352724,98.117780859,320.154031751,1774.52181359
