Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24
1997,"PLDI","Near-optimal intraprocedural branch alignment - Cliff Young David S. Johnson Michael D. Smith David R. Karger",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,3769.6311684025,0.0306918590,323.2557340752,0.0306918590,0.0306918590,78.2826111517,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,87.9532538065,0.0306918590,0.0306918590,0.0306918590,0.0306918590
1997,"PLDI","Efficient formulation for optimal modulo schedulers - Alexandre E. Eichenberger Edward S. Davidson",36.8012887092,0.0306918590,0.0306918590,0.0306918590,0.0306918590,3296.9423999887,0.0306918590,0.0306918590,0.0306918590,0.0306918590,107.4041708715,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,293.9749078667
1997,"PLDI","Module-sensitive program specialisation - Dirk Dussart Rogardt Heldal John Hughes",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,20.5912588395,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,5.5840328261,0.0306918590,0.0306918590,3084.3236577124,17.5354272438,0.0306918590,39.1121291507,524.0376453815,0.0306918590
1997,"PLDI","Two for the price of one - Michael Sperber Peter Thiemann",5.1056934793,0.0306918590,0.0306918590,0.0306918590,0.0306918590,66.4718300712,0.0306918590,317.0922740367,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,66.3055970225,0.0306918590,0.0306918590,3266.5054494422,268.9415409867,0.0306918590,0.0306918590,302.7924579745,0.0306918590
1997,"PLDI","Automatic verification of pointer programs using monadic second-order logic - Jakob L. Jensen Michael E. J&#248;rgensen Michael I. Schwartzbach Nils Klarlund",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,762.6073283440,0.0306918590,0.0306918590,973.5455441400,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,16.0156852435,0.0306918590,287.3126307575,57.3554857039,0.0306918590,176.1401960110,0.0306918590,774.2379728131
1997,"PLDI","A member lookup algorithm for C++ - G. Ramalingam Harini Srinivasan",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,991.6305514165,0.0306918590,0.0306918590,914.7285419718,0.0306918590,0.0306918590,0.0306918590,0.0306918590,1986.1633844330,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,6.6002896147,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590
1997,"PLDI","Componential set-based analysis - Cormac Flanagan Matthias Felleisen",0.0306918590,0.0306918590,0.0306918590,0.0306918590,19.7921385136,104.6493907088,0.0306918590,0.0306918590,1615.9128970389,0.0306918590,917.2130119138,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,1502.9999294572,0.0306918590,3.0538425033,82.9444138736,0.0306918590,79.6799108629
1997,"PLDI","Program analysis using binary relations - Adam Brooks Webber",0.0306918590,0.0306918590,0.0306918590,0.0306918590,20.3885253076,0.0306918590,0.0306918590,0.0306918590,1229.6604299173,0.0306918590,225.8382148001,0.0306918590,0.0306918590,103.5965468535,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,245.8619977626,8.0798953771,0.0306918590,108.2044549383,0.0306918590,1413.6154699156
1997,"PLDI","Linear-time subtransitive control flow analysis - Nevin Heintze David McAllester",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,823.8310068204,0.0306918590,0.0306918590,239.0438609421,0.0306918590,670.0635219099,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,56.4157555316,0.0306918590,0.0306918590,2036.7993140910,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590
1997,"PLDI","A new algorithm for partial redundancy elimination based on SSA form - Fred Chow Sun Chan Robert Kennedy Shin-Ming Liu Raymond Lo Peng Tu",0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,5285.1104675547,0.0306918590,0.0306918590,381.5533133753,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590,42.4282946471,0.0306918590,0.0306918590,0.0306918590,0.0306918590,0.0306918590
