Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1996,"ICFP","A reflection on call-by-value - Simon Peyton Jones Will Partain André Santos",0.0320940909,4.3506579863,0.0320940909,0.0320940909,69.6568236758,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,21.0888006104,0.0320940909
1996,"ICFP","Inductive, coinductive, and pointed types - Julia L. Lawall Harry G. Mairson",0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,85.0320940909,0.0320940909,0.0320940909,0.0320940909
1996,"ICFP","A new look at pattern matching in abstract data types - Brian T. Howard",0.0320940909,0.0320940909,0.0320940909,3.8912949225,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,64.1728932592,0.0320940909,0.0320940909,0.0320940909
1996,"ICFP","Simplifying subtyping constraints - Pedro Palao Gostanza Ricardo Peña Manuel Núñez",0.0320940909,179.6525211015,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,20.0412035043,38.6503777951,14.7842739625,0.0320940909,0.0320940909
1996,"ICFP","Complexity of kernel Fun subtype checking - François Pottier",0.0320940909,71.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909
1996,"ICFP","The semantics of Scheme with future - Giorgio Ghelli",15.1771840773,5.8683457577,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,5.0507524376,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909
1996,"ICFP","First-class synchronization barriers - Luc Moreau",0.0320940909,0.0320940909,0.0320940909,0.0320940909,14.4076759736,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,156.0538385344,0.0320940909,0.0320940909,6.6347677646,0.0320940909
1996,"ICFP","pHluid: the design of a parallel functional language implementation on workstations - Franklyn Turbak",0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,347.2693217857,0.0320940909,0.0320940909,0.0320940909,3.7948663960
1996,"ICFP","Cogen in six lines - Cormac Flanagan Rishiyur S. Nikhil",0.0320940909,63.4619138001,4.9828760662,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,13.6514924063,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909
1996,"ICFP","A probabilistic approach to the problem of automatic selection of data representations - Peter J. Thiemann",0.0320940909,0.0320940909,0.0320940909,3.1910440530,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,0.0320940909,23.8731441287,0.0320940909,0.0320940909,0.0320940909
