Year,Conference,Title,Topic 0,Topic 1
1986,"POPL","Remote attribute updating for language-based editors - Thomas W. Reps Carla Marceau Tim Teitelbaum",0.1477259697,0.1477259697
1986,"POPL","Dynamically bypassing copy rule chains in attribute grammars - Roger Hoover",0.1477259697,0.1477259697
1986,"POPL","High-quality code generation via bottom-up tree pattern matching - Philip J. Hatcher Thomas W. Christopher",0.1477259697,0.1477259697
1986,"POPL","A parallel language and its compilation to multiprocessor machines or VLSI - Marina C. Chen",0.1477259697,0.1477259697
1986,"POPL","Towards programming with knowledge expressions - Reino Kurki-Suonio",0.1477259697,0.1477259697
1986,"POPL","Limitations of synchronous communication with static process structure in languages for distributed computing - Barbara Liskov Maurice Herlihy Lucy Gilbert",0.1477259697,0.1477259697
1986,"POPL","Atomic data abstractions in a distributed collaborative editing system - Irene Greif Robert Seliger William E. Weihl",0.1477259697,0.1477259697
1986,"POPL","A really abstract concurrent model and its temporal logic - Howard Barringer Ruurd Kuiper Amir Pnueli",0.1477259697,0.1477259697
1986,"POPL","Expressing interesting properties of programs in propositional temporal logic - Pierre Wolper",0.1477259697,0.1477259697
1986,"POPL","Operational semantics of a parallel object-oriented language - Pierre America Jaco de Bakker Joost N. Kok Jan J. M. M. Rutten",0.1477259697,0.1477259697
1986,"POPL","Equational logic programming - Jia-Huai You P. A. Subrahmanyam",0.1477259697,0.1477259697
1986,"POPL","Logic and inheritance - Hassan A&#239;t-Kaci Roger Nasr",0.1477259697,0.1477259697
1986,"POPL","Global storage allocation in attribute evaluation - Takuya Katayama Hisashi Sasaki",0.1477259697,0.1477259697
1986,"POPL","Unification in many-sorted algebras as a device for incremental semantic analysis - Gregor Snelting Wolfgang Henhapl",0.1477259697,0.1477259697
1986,"POPL","Distributed data structures in Linda - Nicholas Carriero David Gelernter Jerrold Leichter",0.1477259697,0.1477259697
1986,"POPL","Para-functional programming - Paul Hudak Lauren Smith",0.1477259697,0.1477259697
1986,"POPL","Annotations for distributed programming in logic - Raghu Ramakrishnan Abraham Silberschatz",0.1477259697,0.1477259697
1986,"POPL","Representation independence and data abstraction - John C. Mitchell",0.1477259697,0.1477259697
1986,"POPL","Using dependent types to express modular structure - David B. MacQueen",0.1477259697,0.1477259697
1986,"POPL","Type is not a type - Albert R. Meyer Mark B. Reinhold",0.1477259697,0.1477259697
1986,"POPL","Data flow analysis of applicative programs using minimal function graphs - Neil D. Jones Alan Mycroft",0.1477259697,0.1477259697
1986,"POPL","A mechanically certified theorem about optimal concurrency of sorting networks - Christian Lengauer Chua-Huang Huang",0.1477259697,0.1477259697
1986,"POPL","Executable specifications with quantifiers in the FASE system - Stan Jefferson Samuel N. Kamin",0.1477259697,0.1477259697
1986,"POPL","Finding the source of type errors - Mitchell Wand",0.1477259697,0.1477259697
1986,"POPL","A maximum-flow approach to anomaly isolation in unification-based incremental type inference - Gregory F. Johnson Janet A. Walz",0.1477259697,0.1477259697
1986,"POPL","Hierarchical VLSI design systems based on attribute grammars - Larry G. Jones Janos Simon",0.1477259697,0.1477259697
1986,"POPL","Code motion of control structures in high-level languages - Ron Cytron Andy Lowry F. Kenneth Zadeck",0.1477259697,0.1477259697
1986,"POPL","Compilers and staging transformations - Ulrik J&#248;rring William L. Scherlis",0.1477259697,0.1477259697
1986,"POPL","Higher-order strictness analysis in untyped lambda calculus - Paul Hudak Jonathan Young",0.1477259697,0.1477259697
1986,"POPL","Retargetable high-level alias analysis - Deborah S. Coutant",0.1477259697,0.1477259697
1987,"POPL","Specification and verification of concurrent programs by A<inline-equation><f>&forall;</f></inline-equation>automata - Z. Manna A. Pnueli",0.1477259697,0.1477259697
1987,"POPL","Axioms for concurrent objects - M. P. Herlihy J. M. Wing",0.1477259697,0.1477259697
1987,"POPL","Strictness analysis and denotational abstract interpretation - F. Nielson",0.1477259697,0.1477259697
1987,"POPL","Compiling strictness into streams - C. V. Hall D. S. Wise",0.1477259697,0.1477259697
1987,"POPL","On strictness and its analysis - T.-M. Kuo P. Mishra",0.1477259697,0.1477259697
1987,"POPL","A logic for partially specified data structures - M. D. Moshier W. C. Rounds",0.1477259697,0.1477259697
1987,"POPL","An improvement to bottom-up tree pattern matching - D. R. Chase",0.1477259697,0.1477259697
1987,"POPL","LUSTRE: a declarative language for real-time programming - P. Caspi D. Pilaud N. Halbwachs J. A. Plaice",0.1477259697,0.1477259697
1987,"POPL","Appraising fairness in distributed languages - K. R. Apt N. Francez S. Katz",0.1477259697,0.1477259697
1987,"POPL","Concurrent transition system semantics of process networks - E. W. Stark",0.1477259697,0.1477259697
1987,"POPL","Semantics for concurrency without powerdomains - F. J. Oles",0.1477259697,0.1477259697
1987,"POPL","Full abstraction of a real-time denotational semantics for an OCCAM-like language - C. Huizing R. Gerth W. P. deRoever",0.1477259697,0.1477259697
1987,"POPL","Completeness and incompleteness of trace-based network proof systems - J. Widom D. Gries F. B. Schneider",0.1477259697,0.1477259697
1987,"POPL","Computable values can be classical - V. Breazu-Tannen A. R. Meyer",0.1477259697,0.1477259697
1987,"POPL","Skinny and fleshy failures of relative completeness - D. Leivant T. Fernando",0.1477259697,0.1477259697
1987,"POPL","Empty types in polymorphic lambda calculus - A. R. Meyer J. C. Mitchell E. Moggi R. Statman",0.1477259697,0.1477259697
1987,"POPL","Scheduling arithmetic and load operations in parallel with no spilling - D. Bernstein J. M. Jaffe M. Rodeh",0.1477259697,0.1477259697
1987,"POPL","Computation of aliases and support sets - A. Neirynck A. J. Demers",0.1477259697,0.1477259697
1987,"POPL","A realistic compiler generator based on high-level semantics: another progress report - P. Lee U. Pleban",0.1477259697,0.1477259697
1987,"POPL","Extensions for multi-module records in conventional programming languages - D. R. Cheriton M. E. Wolf",0.1477259697,0.1477259697
1987,"POPL","Views: a way for pattern matching to cohabit with data abstraction - P. Wadler",0.1477259697,0.1477259697
1987,"POPL","A calculus for assignments in higher-order languages - Mattias Felleisen D. P. Friedman",0.1477259697,0.1477259697
1987,"POPL","Semantic parallelization: a practical exercise in abstract interpretation - P. Jouvelot",0.1477259697,0.1477259697
1987,"POPL","The concurrent logic programming language CP: Definition and operational semantics - V. A. Saraswat",0.1477259697,0.1477259697
1987,"POPL","Automatic decomposition of scientific programs for parallel execution - r. Allen D. Callahan K. Kennedy",0.1477259697,0.1477259697
1987,"POPL","Macro-by-example: Deriving syntactic transformations from their specifications - E. E. Kohlbecker M. Wand",0.1477259697,0.1477259697
1987,"POPL","Binding performance at language design time - J. Cai R. Paige",0.1477259697,0.1477259697
1987,"POPL","Environments as first class objects - D. Gelernter S. Jagannathan T. London",0.1477259697,0.1477259697
1987,"POPL","Constraint logic programming - J. Jaffar J.-L. Lassez",0.1477259697,0.1477259697
1984,"POPL","Expressional loops - Richard C. Waters",0.1484816994,4522.1469702400
1984,"POPL","Grids - Harold L. Ossher",0.1561877447,3535.1392641947
1984,"POPL","Constraining-unification and the programming language unicorn - Robert G. Bandes",404.4477954635,1295.8476564759
1984,"POPL","Implementation of an interpreter for abstract equations - Christoph M. Hoffmann Michael J. O`Donnell",846.5098593887,3332.7855925507
1984,"POPL","A combinator-based compiler for a functional language - Paul Hudak David Kranz",90.9487758833,3543.3466760562
1984,"POPL","Treat - an applicative code generator - Jerald S. Schwarz Dean Rubine",0.1484620724,1745.1469898670
1984,"POPL","Inverse currying transformation on attribute grammars - Reinhard Wilhelm",72.3631118785,1703.9323400609
1984,"POPL","The global storage needs of a subcomputation - Jean-Claude Raoult Ravi Sethi",41.0304864172,2346.2649655222
1984,"POPL","A types-as-sets semantics for milner-style polymorphism - Mitchell Wand",2458.1468993034,0.1485526360
1984,"POPL","An ideal model for recursive polymorphic types - David MacQueen Gordon Plotkin Ravi Sethi",2263.1469310319,0.1485209075
1984,"POPL","Coercion and type inference - John C. Mitchell",3122.1469757057,0.1484762338
1984,"POPL","Editing by example - Robert Nix",0.1484552956,4729.1469966439
1984,"POPL","Reflection and semantics in LISP - Brian Cantwell Smith",690.1270252124,5635.1684267269
1984,"POPL","Direct implementation of compiler specifications or the pascal p-code compiler revisited - Don Milos Uwe Pleban George Loegel",0.1484297158,2753.1470222236
1984,"POPL","Paragon - Mark Sherman",0.1484777851,3239.1469741544
1984,"POPL","Applicative programming and digital design - Steven D. Johnson",303.8985034863,2385.3969484531
1984,"POPL","Pattern driven lazy reduction - P. A. Subrahmanyam J-H. You",849.7102213929,1523.5852305466
1984,"POPL","Static inference of properties of applicative programs - Prateek Mishra Robert M. Keller",1746.2940374761,1530.0014144634
1984,"POPL","The semantics of local storage, or what makes the free-list free?(Preliminary Report) - Joseph Y. Halpern Albert R. Meyer B. A. Trakhtenbrot",3102.6206782484,573.6747736910
1984,"POPL","On relative completeness of programming logics - Michal Grabowski",1065.1470801359,0.1483718036
