Year,Conference,Title,Topic 0,Topic 1
1987,"POPL","Macro-by-example: Deriving syntactic transformations from their specifications - E. E. Kohlbecker M. Wand",0.2442609380,0.2442609380
1987,"POPL","Binding performance at language design time - J. Cai R. Paige",0.2442609380,0.2442609380
1987,"POPL","Environments as first class objects - D. Gelernter S. Jagannathan T. London",0.2442609380,0.2442609380
1987,"POPL","Constraint logic programming - J. Jaffar J.-L. Lassez",0.2442609380,0.2442609380
1984,"POPL","Expressional loops - Richard C. Waters",2208.2495373127,2314.2389845633
1984,"POPL","Grids - Harold L. Ossher",1567.1234573634,1968.3650645126
1984,"POPL","Constraining-unification and the programming language unicorn - Robert G. Bandes",512.4503861367,1188.0381357393
1984,"POPL","Implementation of an interpreter for abstract equations - Christoph M. Hoffmann Michael J. O`Donnell",1064.8325490017,3114.6559728743
1984,"POPL","A combinator-based compiler for a functional language - Paul Hudak David Kranz",1765.7120034514,1868.7765184246
1984,"POPL","Treat - an applicative code generator - Jerald S. Schwarz Dean Rubine",238.0789359626,1507.4095859134
1984,"POPL","Inverse currying transformation on attribute grammars - Reinhard Wilhelm",168.7081074667,1607.7804144093
1984,"POPL","The global storage needs of a subcomputation - Jean-Claude Raoult Ravi Sethi",369.4359428433,2018.0525790327
1984,"POPL","A types-as-sets semantics for milner-style polymorphism - Mitchell Wand",1938.3425112538,520.1460106222
1984,"POPL","An ideal model for recursive polymorphic types - David MacQueen Gordon Plotkin Ravi Sethi",1579.1453278046,684.3431940714
1984,"POPL","Coercion and type inference - John C. Mitchell",2620.1630132290,502.3255086470
1984,"POPL","Editing by example - Robert Nix",229.2430059016,4500.2455159744
1984,"POPL","Reflection and semantics in LISP - Brian Cantwell Smith",3774.1889079394,2551.2996139365
1984,"POPL","Direct implementation of compiler specifications or the pascal p-code compiler revisited - Don Milos Uwe Pleban George Loegel",276.5743782791,2476.9141435969
1984,"POPL","Paragon - Mark Sherman",1849.5990574004,1389.8894644756
1984,"POPL","Applicative programming and digital design - Steven D. Johnson",414.0683133005,2275.4202085755
1984,"POPL","Pattern driven lazy reduction - P. A. Subrahmanyam J-H. You",975.2841532790,1398.2043685970
1984,"POPL","Static inference of properties of applicative programs - Prateek Mishra Robert M. Keller",2279.8616744200,996.6268474560
1984,"POPL","The semantics of local storage, or what makes the free-list free?(Preliminary Report) - Joseph Y. Halpern Albert R. Meyer B. A. Trakhtenbrot",2479.6034261675,1196.8850957085
1984,"POPL","On relative completeness of programming logics - Michal Grabowski",216.4227075688,849.0658143072
1984,"POPL","A good Hoare axiom system for an ALGOL-like language - Joseph Y. Halpern",1874.6097353864,989.8787864895
1984,"POPL","A hierarchical basis for reordering transformations - Joe Warren",904.0664705644,2528.4220513116
1984,"POPL","A less dynamic memory allocation scheme for algol-like languages - Thomas P. Murtagh",67.5928623681,1936.8956595078
1984,"POPL","Interactive proof checking - Thomas Reps Bowen Alpern",596.4585339454,3123.0299879306
1984,"POPL","Creating efficient systems for object-oriented languages - Norihisa Suzuki Minoru Terada",1400.5640618545,1362.9244600215
1984,"POPL","Efficient implementation of the smalltalk-80 system - L. Peter Deutsch Allan M. Schiffman",269.9612398307,2512.5272820453
1984,"POPL","Generalized fair termination - Nissim Francez Dexter Kozen",1068.4064514617,708.0820704143
1984,"POPL","Temporal verification of carrier-sense local area network protocols - D. E. Shasha A. Pnueli W. Ewald",2801.1828502568,1261.3056716192
1984,"POPL","Efficient applicative data types - Eugene W. Myers",803.5044919628,2156.9840299131
1984,"POPL","Stop losing sleep over incomplete data type specifications - Jean Jacques Thiel",390.9766656770,1004.5118561990
1984,"POPL","Completion of a set of rules modulo a set of equations - Jean-Pierre Jouannaud Helene Kirchner",1106.4915299851,1623.9969918909
1984,"POPL","Systems programming in concurrent prolog - Ehud Shapiro",923.9844366471,4192.5040852289
1985,"POPL","Embedding type structure in semantics - Mitchell Wand",0.2442609380,0.2442609380
1985,"POPL","Declaration-free type checking - Prateek Mishra Uday S. Reddy",0.2442609380,0.2442609380
1985,"POPL","A model and temporal proof system for networks of processes - Van Nguyen David Gries Susan Owicki",0.2442609380,0.2442609380
1985,"POPL","Logical and mathematical reasoning about imperative programs - Daniel Leivant",0.2442609380,0.2442609380
1985,"POPL","A meta-language and system for nonlocal incremental attribute evaluation in language-based editors - Gregory F. Johnson C. N. Fischer",0.2442609380,0.2442609380
1985,"POPL","Incremental compilation of optimized code - Lori L. Pollock Mary Lou Soffa",0.2442609380,0.2442609380
1985,"POPL","A greedy concurrent approach to incremental code generation - Ray Ford Duangkaew Sawamiphakdi",0.2442609380,0.2442609380
1985,"POPL","On linearizing parallel code - Jeanne Ferrante Mary Mace",0.2442609380,0.2442609380
1985,"POPL","Compiling path expressions into VLSI circuits - T. S. Anantharaman E. M. Clarke M. J. Foster B. Mishra",0.2442609380,0.2442609380
1985,"POPL","Constraints - Leslie Lamport Fred B. Schneider",0.2442609380,0.2442609380
1985,"POPL","High-level language facilities for low-level services - Christopher W. Fraser David R. Hanson",0.2442609380,0.2442609380
1985,"POPL","Matchmaker - Michael B. Jones Richard F. Rashid Mary R. Thompson",0.2442609380,0.2442609380
1985,"POPL","Types as intervals - Robert Cartwright",0.2442609380,0.2442609380
1985,"POPL","Smart recompilation - Walter F. Tichy Mark C. Baker",0.2442609380,0.2442609380
1985,"POPL","Constraining control - Daniel P. Friedman Christopher T. Haynes",0.2442609380,0.2442609380
1985,"POPL","Closurize and concentrate - Julian Padget John Fitch",0.2442609380,0.2442609380
1985,"POPL","Functional programing and the logical variable - Gary Lindstrom",0.2442609380,0.2442609380
1985,"POPL","Analyzing aliases of reference formal parameters - Keith D. Cooper",0.2442609380,0.2442609380
1985,"POPL","Constant propagation with conditional branches - Mark N. Wegman Frank Kenneth Zadeck",0.2442609380,0.2442609380
1985,"POPL","The aggregate update problem in functional programming systems - Paul Hudak Adrienne Bloss",0.2442609380,0.2442609380
1985,"POPL","Semantics-directed code generation - Andrew W. Appel",0.2442609380,0.2442609380
1985,"POPL","Optimal scheduling of arithmetic operations in parallel with memory access (preliminary version) - David Bernstein Ron Y. Pinter Michael Rodeh",0.2442609380,0.2442609380
