Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
1996,"ICFP","A probabilistic approach to the problem of automatic selection of data representations - Tyng-Ruey Chuang, Wen L. Hwang",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,25.2221962555,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,1.8302947299
1996,"ICFP","A reflection on call-by-value - Amr Sabry, Philip Wadler",0.0262454927,0.0262454927,26.8253511209,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,46.4927316247,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,21.7606537324
1996,"ICFP","A theory of weak bisimulation for core CML - William Ferreira, Matthew Hennessy, Alan Jeffrey",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,5.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927
1996,"ICFP","A provable time and space efficient implementation of NESL - Guy E. Blelloch, John Greiner",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,64.1082625901,6.3961813784,0.0262454927,0.0262454927,23.3651632290,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,14.9876635720,41.0602178116,122.1567141613,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,3.1095157063
1996,"ICFP","Synchronous Kahn networks - Paul Caspi, Marc Pouzet",0.0262454927,5.0312571763,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,6.1945968334,0.0262454927,0.0262454927,24.8528824682
1996,"ICFP","Enriching the lambda calculus with contexts: toward a theory of incremental program construction - Shinn-Der Lee, Daniel P. Friedman",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,1.8472034387,0.0262454927,0.0262454927,100.2052875466,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927
1996,"ICFP","Sharing code through first-class environments - Christian Queinnec, David de Roure",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,62.0643029825,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,1.9881880028,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927
1996,"ICFP","Functional back-ends within the lambda-sigma calculus - Thérèse Hardin, Luc Maranget, Bruno Pagano",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,22.7432251158,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,69.3092658695,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927
1996,"ICFP","Lag, drag, void and use—heap profiling and space-efficient compilation revisited - Niklas Röjemo, Colin Runciman",0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,2.2000214358,0.0262454927,0.0262454927,7.9912922223,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,42.8874228199,0.0262454927,0.0262454927,0.0262454927
1996,"ICFP","Static and dynamic partitioning of pointers as links and threads - David S. Wise, Joshua Walgenbach",0.0262454927,0.0262454927,7.9337199235,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,10.5133176703,19.0890809609,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,7.5688634159,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927,0.0262454927
