Year,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,PLDI Topic 20,PLDI Topic 21,PLDI Topic 22,PLDI Topic 23,PLDI Topic 24,PLDI Topic 25,PLDI Topic 26,PLDI Topic 27,PLDI Topic 28,PLDI Topic 29,PLDI Topic 30,PLDI Topic 31,PLDI Topic 32,PLDI Topic 33,PLDI Topic 34,PLDI Topic 35,PLDI Topic 36,PLDI Topic 37,PLDI Topic 38,PLDI Topic 39,PLDI Topic 40,PLDI Topic 41,PLDI Topic 42,PLDI Topic 43,PLDI Topic 44,PLDI Topic 45,PLDI Topic 46,PLDI Topic 47,PLDI Topic 48,PLDI Topic 49,PLDI Topic 50,PLDI Topic 51,PLDI Topic 52,PLDI Topic 53,PLDI Topic 54,PLDI Topic 55,PLDI Topic 56,PLDI Topic 57,PLDI Topic 58,PLDI Topic 59,PLDI Topic 60,PLDI Topic 61,PLDI Topic 62,PLDI Topic 63,PLDI Topic 64,PLDI Topic 65,PLDI Topic 66,PLDI Topic 67,PLDI Topic 68,PLDI Topic 69,PLDI Topic 70,PLDI Topic 71,PLDI Topic 72,PLDI Topic 73,PLDI Topic 74,PLDI Topic 75,PLDI Topic 76,PLDI Topic 77,PLDI Topic 78,PLDI Topic 79,PLDI Topic 80,PLDI Topic 81,PLDI Topic 82,PLDI Topic 83,PLDI Topic 84,PLDI Topic 85,PLDI Topic 86,PLDI Topic 87,PLDI Topic 88,PLDI Topic 89,PLDI Topic 90,PLDI Topic 91,PLDI Topic 92,PLDI Topic 93,PLDI Topic 94,PLDI Topic 95,PLDI Topic 96,PLDI Topic 97,PLDI Topic 98,PLDI Topic 99,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19,POPL Topic 20,POPL Topic 21,POPL Topic 22,POPL Topic 23,POPL Topic 24,POPL Topic 25,POPL Topic 26,POPL Topic 27,POPL Topic 28,POPL Topic 29,POPL Topic 30,POPL Topic 31,POPL Topic 32,POPL Topic 33,POPL Topic 34,POPL Topic 35,POPL Topic 36,POPL Topic 37,POPL Topic 38,POPL Topic 39,POPL Topic 40,POPL Topic 41,POPL Topic 42,POPL Topic 43,POPL Topic 44,POPL Topic 45,POPL Topic 46,POPL Topic 47,POPL Topic 48,POPL Topic 49,POPL Topic 50,POPL Topic 51,POPL Topic 52,POPL Topic 53,POPL Topic 54,POPL Topic 55,POPL Topic 56,POPL Topic 57,POPL Topic 58,POPL Topic 59,POPL Topic 60,POPL Topic 61,POPL Topic 62,POPL Topic 63,POPL Topic 64,POPL Topic 65,POPL Topic 66,POPL Topic 67,POPL Topic 68,POPL Topic 69,POPL Topic 70,POPL Topic 71,POPL Topic 72,POPL Topic 73,POPL Topic 74,POPL Topic 75,POPL Topic 76,POPL Topic 77,POPL Topic 78,POPL Topic 79,POPL Topic 80,POPL Topic 81,POPL Topic 82,POPL Topic 83,POPL Topic 84,POPL Topic 85,POPL Topic 86,POPL Topic 87,POPL Topic 88,POPL Topic 89,POPL Topic 90,POPL Topic 91,POPL Topic 92,POPL Topic 93,POPL Topic 94,POPL Topic 95,POPL Topic 96,POPL Topic 97,POPL Topic 98,POPL Topic 99
1997,30,0.0150821344,0.0706951496067,0.0150821344,0.0663581742733,6.57992159778,0.0150821344,0.165554626067,0.51724049561,2.28327981614,0.0150821344,1.63926284943,0.0150821344,0.440504211667,0.387634664317,0.0150821344,0.0150821344,0.452983708193,1.32305079895,0.05357100853,0.0150821344,0.0150821344,0.0640065726633,0.66475626449,0.859887300463,0.0150821344,0.0150821344,0.0150821344,0.08585281153,0.619537108637,0.0150821344,0.557697523323,0.139727721647,0.16081440017,2.03493772171,0.0150821344,0.916114786283,2.6044693219,1.99222107814,3.66723380496,0.0150821344,0.0150821344,0.214998310237,1.5666338383,0.331367565123,0.0150821344,0.148181292857,0.0150821344,4.95361584594,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.196940560517,0.0361364692767,4.98642690479,0.0150821344,0.291925072853,0.206835829997,0.0150821344,0.139430696967,0.133064294657,0.0150821344,0.51406199522,0.0150821344,0.0150821344,3.61338423685,0.537252162657,0.26420491127,1.32003706538,0.4164268771,0.23238578367,0.440504211667,0.0361364692767,0.0536405075733,0.0150821344,5.38947119929,0.557697523323,0.985850039047,0.88776030329,1.97237361164,1.07677344812,1.58159127004,0.189601261697,0.0150821344,0.471247442367,0.44347482141,0.93427633954,0.213924438777,4.08914691532,0.0150821344,0.402370619773,0.596770217897,6.38437815447,1.56686619348,0.0150821344,0.0150821344,4.12306358426,4.09616243894,0.0150821344,2.50013209669,36,0.0150821344,0.315851076225,0.119927610347,0.0475065211583,0.0978920115917,0.096402422025,0.0150821344,0.0150821344,0.194674483197,0.0150821344,0.0360712874278,0.0445500155306,0.0150821344,0.0150821344,0.271467136567,0.0509701015778,0.133407737233,0.0150821344,0.0150821344,0.215792214008,0.0509701015778,0.0150821344,0.0458260816611,0.0150821344,0.136762163944,0.0150821344,0.236982175911,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0707255174194,0.0984135634889,0.0150821344,0.0150821344,0.0150821344,0.12013489975,0.114372359658,0.0150821344,0.0150821344,0.0150821344,0.0615961081972,0.0984154677333,0.0150821344,0.0894441824056,0.0150821344,0.0150821344,0.0150821344,0.0765111583528,0.0150821344,0.0150821344,0.0448729578833,0.0150821344,0.0309395751278,0.237304356622,0.0150821344,0.0150821344,0.0735006532028,0.0472350632917,0.136062445381,0.0518311975028,0.0150821344,0.0706376899556,0.120319777114,0.0432156982111,0.0150821344,0.0745633514556,0.043090079125,0.0428599121778,0.0150821344,0.107946645419,0.0150821344,0.0309395751278,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0583616240556,0.106093149389,0.0766960357139,0.305864883133,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0705498624917,0.0387441798556,0.0706376899556,0.0150821344,0.18270050495,0.0150821344,0.0150821344,0.237304356622,0.0433833683167,0.0150821344,0.0150821344,0.0150821344,0.0706376899556,0.0837856909,0.0150821344
1981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.241119929235,2.10744293221,0.0150821344,12.9488174622,0.0150821344,0.0150821344,0.22221364737,0.0150821344,0.0150821344,0.0627032482478,1.63040553909,0.0639742718957,0.420735553291,0.0150821344,0.0150821344,1.44124343607,0.0150821344,2.07296969467,0.524259125591,2.23427037132,1.44124343607,1.22909213954,0.297240324848,0.15714872627,0.0150821344,0.709724507157,2.10015431876,0.0150821344,1.13041355627,0.707024134326,0.261455126926,0.628252818452,0.517249689835,0.515405307013,1.30832159933,0.0150821344,0.0150821344,0.249527440626,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.180371548087,0.726903714222,0.0150821344,0.416503345965,1.39602797773,1.29714139931,0.330806259513,1.73993356531,0.0150821344,2.10973663768,0.0792897646348,0.0668209194174,0.0150821344,0.707024134326,2.07375438119,0.0150821344,0.0150821344,2.79745803869,0.0150821344,0.226908314043,1.87769294421,0.32604502173,0.146325810378,0.420735553291,1.29714139931,2.10690361336,0.0150821344,0.0150821344,0.261455126926,0.139381648078,0.892881749422,0.0150821344,0.276835738057,0.0150821344,0.0150821344,0.232472162761,0.710293539248,0.068229930187,3.74877528831,0.96130401583,0.0150821344,0.0150821344,0.168725195383,0.909372168952,0.0150821344,0.669613441148,0.468591810365,0.508336598209,0.0150821344,0.244794046961,0.144669588896,6.43329234803
1986,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1.93204999744,0.0150821344,0.968038976431,0.145342685107,0.450484633448,0.2186627779,2.16281308757,0.0150821344,0.840687835666,2.50367530738,1.28852858862,0.0150821344,0.0150821344,0.0150821344,0.0150821344,2.2369430048,0.879882894041,0.384604407714,0.0150821344,0.811717983924,2.2369430048,0.157706372334,0.0150821344,2.67825583603,0.886041527583,0.0150821344,2.37571412642,0.0150821344,1.58933253656,0.0150821344,0.0401294016138,3.24160854488,0.380720545,0.0150821344,0.0150821344,0.187988780414,0.069612246231,0.0150821344,0.0150821344,0.845799881141,0.210688699928,0.0150821344,1.72517435071,0.0150821344,0.229864367424,0.679392744459,0.107242038855,0.310419324624,0.0150821344,0.0150821344,0.12848922619,0.497544878697,0.0150821344,0.0150821344,0.537909048483,0.359427132841,0.0150821344,2.42059803524,0.225111802621,1.7620654908,0.0150821344,0.0150821344,0.0150821344,2.02423024603,0.0150821344,0.436610951976,0.0150821344,0.774570248634,0.319846429321,0.0150821344,0.71723589451,0.0150821344,0.0150821344,0.0150821344,1.24265590808,0.0887357095379,0.0401294016138,0.276439617286,1.02422413691,0.0150821344,1.67127032844,3.11650987779,6.4595887715,0.378859230338,0.146281910207,1.41588313006,1.00175198608,0.276895173862,0.0150821344,0.542606025266,0.337600347221,0.0150821344,0.741915259083,0.0626573392379,0.0150821344,0.277208888534,2.55878003848,0.940950067279,0.223632252186,7.34847123557
1987,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5.22544958681,1.61435417299,1.74622875922,0.544275331521,0.0150821344,0.0150821344,0.263972290814,0.0150821344,0.0150821344,2.42846489775,0.745352350311,0.0150821344,0.0150821344,0.225961634493,0.630190030161,0.460350396907,0.3075333366,0.409330115814,0.0557957077036,4.83946008332,0.460350396907,0.246926988036,0.0150821344,2.53136257745,0.068612750975,0.218175276971,0.713944715193,0.0520484564429,0.679993054204,0.146024318571,0.0150821344,2.58094825044,0.991074228693,0.11626465465,0.0150821344,0.0150821344,0.808543358857,0.0150821344,0.0150821344,2.98886860765,0.379726343671,0.0150821344,1.30387898819,0.0150821344,0.753131134511,0.0538186722036,0.806599720386,0.0486658063786,2.12759331703,0.0150821344,0.253773821861,2.0803625268,0.0150821344,0.193828864993,0.375549074518,1.56834288737,0.0150821344,1.52046984652,0.173795591618,0.228389798889,0.758324699007,0.146024318571,0.0865107058286,0.0150821344,0.0150821344,0.0644899599107,0.0576903981179,0.0150821344,0.102136448411,0.0150821344,1.68289240937,0.0150821344,0.193828864993,0.713030113046,0.0150821344,0.0615002459393,0.0150821344,0.771630379789,0.0150821344,0.0150821344,0.907752679829,0.343539367807,0.0150821344,0.214058346293,0.0592500848429,0.3854200947,0.0634905906679,0.0627261553286,0.0150821344,1.08487227938,0.0150821344,0.0150821344,0.0150821344,1.41672652849,1.06238390085,0.0150821344,0.193653562971,1.22667842103,0.419824010821,0.0150821344
1984,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.0150821344,0.173412680829,0.4050708218,2.2357421509,0.0150821344,0.0150821344,0.0737301837677,0.0150821344,0.0150821344,0.689480473777,0.293663510352,0.0954270324419,0.0150821344,0.408723072706,0.487712822355,0.0332337870258,0.0150821344,1.67177847502,0.0150821344,1.25031398397,0.0332337870258,0.361518658242,0.0150821344,1.04482231997,0.0150821344,0.131071157394,1.22546820268,0.0150821344,0.293594714945,0.165707807887,0.910370043713,0.0150821344,0.0725951356677,0.0150821344,0.0150821344,0.7300838292,0.291644411287,0.0749474126226,0.0150821344,0.105021161177,0.0546872527484,0.0150821344,0.313641087465,0.0150821344,0.0150821344,0.0150821344,1.46104096195,0.0150821344,0.0549460806161,0.573701199706,0.0150821344,0.0150821344,0.0698936196032,0.0150821344,0.0855166388581,0.22341594951,0.0150821344,1.70843313989,0.0150821344,0.558859759248,0.117413854116,0.165707807887,0.0150821344,0.0150821344,0.0150821344,1.2751398695,0.0150821344,0.928357145661,0.851010247458,0.0150821344,1.69875039902,0.0150821344,0.0150821344,0.638493364016,0.115326889687,0.0150821344,0.910370043713,0.155877577868,0.0150821344,0.0150821344,0.689358952052,0.0150821344,0.309380758655,2.07577118174,0.0150821344,2.00297305269,0.279691244865,0.235090249606,0.192630788319,1.73642920574,0.0150821344,0.0150821344,0.217137671548,2.14868017916,0.0150821344,4.80931074716,0.261510758135,0.755983567597,0.489502188971,6.32123666984
1985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.461354343628,0.373630069179,0.0968473534379,0.0796970310621,0.153013168883,0.0150821344,1.72217835302,0.0150821344,0.0150821344,0.23785796431,0.385505106686,1.78492363929,0.700296919766,0.471013633962,0.0150821344,0.0150821344,0.521643843317,0.0150821344,0.988193967948,2.02717691632,0.0150821344,0.174674807197,0.445750541045,4.42739342321,0.0150821344,0.626487289848,3.38918085726,0.1822077779,1.2413586933,1.00033750653,0.644024515193,0.8207647123,0.742998667538,0.0150821344,0.0150821344,1.22876298348,0.873986099131,0.156302817697,0.0150821344,1.32420025946,0.345785443048,0.1083759979,0.274952702369,0.0150821344,0.506527976083,0.462547843859,0.253861377848,0.28929435241,0.0150821344,2.38176348228,0.0150821344,1.26393002091,0.0150821344,0.0150821344,0.0150821344,0.405947003441,0.0150821344,1.67614489045,0.585989023448,0.0150821344,0.832392169914,1.00033750653,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.281766172924,1.08173891626,1.04816816436,0.0150821344,0.211032906369,0.700296919766,0.0150821344,0.799557488886,0.0150821344,0.0150821344,0.644024515193,0.288641908148,0.439224560293,0.0150821344,0.0150821344,1.06677616403,0.0150821344,0.208644174414,0.299082332548,0.0150821344,0.402544982766,0.311648119983,0.0150821344,2.86067965639,0.0150821344,0.237414082124,0.641069637421,0.0521733549379,1.18559645381,0.0150821344,0.164902496766,0.306641019452,1.1135844153,0.290944203366
1982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0.0669400557135,0.115108278757,0.0150821344,0.522222316662,0.0150821344,0.675973899686,0.0150821344,0.0150821344,0.188440308492,0.303302654959,0.546906569505,0.0150821344,0.240217697911,0.0150821344,0.444509446095,0.0827176488297,0.473467461914,2.93276187344,0.0150821344,1.0271376229,0.0827176488297,0.216279223976,0.394226384016,1.6571209955,0.0580614377432,0.568743503557,0.745641480722,0.0955298257622,1.59059292347,0.0150821344,0.0150821344,5.15075748312,0.347934420797,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.225800241381,0.0150821344,0.126196295708,0.0150821344,0.525439403932,0.0150821344,0.139058468505,0.354820245935,0.0150821344,0.464014896565,0.259222309427,0.0150821344,0.17508563337,0.174131004135,0.0496661286216,1.10162341653,0.0746645489,1.20455224627,0.0150821344,2.26485884933,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0432893632541,0.0150821344,0.0150821344,0.159634619405,0.216132036178,0.186424252227,0.612738242835,0.470308824522,0.704356344089,0.240217697911,1.10162341653,0.289897049019,0.0150821344,0.109895418357,0.0150821344,0.0925671133811,1.07156743662,0.168341433832,1.49194708577,2.07617689043,1.62126933581,0.0919252027946,0.457058094803,0.0150821344,0.536922691984,0.0150821344,0.0150821344,0.316765321727,0.464877167835,0.26355082897,0.0713323211946,0.0150821344,0.0150821344,0.265496897141,2.26146702288,0.500536097486,0.0150821344,2.87509024481
1983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.0150821344,2.52704406804,0.305790876289,24.312886304,0.0150821344,0.0150821344,0.162303652011,0.0150821344,0.0150821344,2.5006991233,1.92944621683,0.0150821344,0.269289085611,0.0150821344,1.5242979754,0.742276860548,4.46554681393,1.59485412043,0.176661515141,1.55748701907,0.742276860548,1.40911586966,0.77639980823,0.0150821344,1.82780278173,0.164237986456,13.2476187507,0.0150821344,0.560373510944,2.4149221553,0.0990593769778,0.0150821344,0.291510096307,0.0150821344,0.0150821344,0.0609506624481,0.0150821344,0.109313915596,0.0150821344,0.1737724222,0.341503696337,0.0150821344,1.56036713606,0.0150821344,0.0150821344,0.454366296689,0.561209823226,0.23831373367,1.23886198076,0.0150821344,0.277670203993,0.124608038452,0.0150821344,0.520976616648,0.0966767770519,0.380339129085,0.361686948085,17.1566152896,0.0150821344,0.487024408163,0.390662777704,2.4149221553,0.725919723837,0.162834744589,0.121917746326,0.0982492869,0.054808919437,16.8450371613,0.567773506411,0.0150821344,0.408531279011,0.269289085611,0.520976616648,1.17481815079,0.0150821344,0.0646659158074,0.0990593769778,21.2351691503,0.527710776633,0.898241922096,1.89803170341,0.0910668130296,0.126939840296,0.0150821344,0.0150821344,0.284589429389,2.42480762893,0.346623815426,0.0150821344,0.468123827111,0.0150821344,0.0150821344,0.0150821344,0.345691807556,0.0150821344,1.1974055519,0.426583604085,1.76374944642,0.0548572871519,0.0563553270963
1980,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.404407613558,0.237613353146,0.190692610917,6.27055838001,0.0761827758833,0.0150821344,1.1075631314,0.0150821344,0.0150821344,1.52469173134,2.02523517387,0.0150821344,0.0150821344,0.0150821344,2.15926139917,0.0150821344,4.1616039796,1.92133810065,0.785718210679,1.21699369807,0.0150821344,2.130392502,0.371671129587,0.0634346990208,2.95963668784,2.15816129905,0.556269252533,0.0150821344,2.25370145834,0.0150821344,0.6400821344,0.414513856917,0.741200909,0.0150821344,0.0150821344,0.0150821344,0.0150821344,9.32479856487,0.0150821344,0.0150821344,0.481958319267,0.0150821344,0.386899654271,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,2.66678530603,0.19856656145,0.0150821344,11.2136171566,0.0150821344,0.159574501538,0.0150821344,0.0150821344,14.4805288375,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.0150821344,0.278166520221,0.153208679358,0.0666446357417,0.690535257458,0.0150821344,0.0963213346292,0.0150821344,0.0150821344,1.21350871206,0.0150821344,0.0150821344,0.6400821344,0.243195177996,3.33570838034,0.0150821344,0.0150821344,1.51468759207,0.0716242212042,0.0150821344,0.0667199239083,0.0150821344,1.09244123429,0.0711085343875,0.0657902421792,0.0150821344,0.0150821344,0.201382328142,0.0150821344,0.167157124888,0.760379355604,0.168138338683,0.0150821344,0.0694930438292,1.38118800646,1.25155269005
2003,27,0.150963665589,0.0150821344,0.0150821344,0.0150821344,3.00993382853,0.0150821344,0.679344464074,0.685516281452,1.2580401549,0.057221217637,0.984352346341,2.63050683505,2.65105940553,0.485738557696,0.315799976919,0.0150821344,0.0150821344,0.841135552219,3.37427041866,0.0150821344,0.0150821344,0.532784641363,0.129773236693,0.0150821344,0.0150821344,0.316531871407,2.34416920978,0.488005899481,0.452829106159,0.0150821344,0.0441193071333,0.13824186823,3.45874876891,2.34417202956,0.435810953052,0.486644484248,0.25024931843,0.859799659152,4.0323320144,0.104391600022,4.22147551907,1.21353374242,0.13102557737,2.34565595099,0.0150821344,0.286490734411,0.0150821344,2.7970059719,0.0150821344,0.0150821344,0.258803601811,0.0150821344,0.0869229681778,0.263466354126,2.38394168262,0.130569788348,0.12680824553,0.0150821344,2.89403139126,0.0150821344,0.383588162926,0.0150821344,0.232629708926,0.154290708767,0.124308024141,0.137206499604,0.297829591352,0.242437365904,0.0635651715185,0.0150821344,0.430714424511,2.65105940553,0.263466354126,0.261220723467,9.34885574801,5.49817408236,0.0441193071333,2.65599207668,1.28826388237,0.531638963389,0.0150821344,0.0150821344,4.83714228508,0.153020735244,1.25240469717,0.162931382456,0.7534374911,0.0150821344,7.98219062338,1.66372516897,0.214208752156,0.388198949567,4.00555909303,1.91593606613,0.0150821344,0.0150821344,0.743882462852,1.28721183844,0.7609462948,0.0150821344,24,0.116604241496,0.546120372679,1.7038379096,0.0150821344,1.53059471915,0.0792674055292,0.230633732654,0.0150821344,2.12405988136,0.495288688217,0.776700596413,0.0150821344,0.0150821344,0.733593087571,0.0150821344,0.0150821344,0.735676300258,0.0150821344,0.062748398875,0.128784373196,0.0150821344,0.792452618429,0.121167902871,0.0150821344,0.0150821344,3.46308512485,0.998879915675,0.0150821344,0.0885817099,0.109778923288,0.0150821344,1.87374020368,3.58999156643,1.33728442217,0.362420205763,0.0150821344,0.0150821344,0.701807961838,0.0150821344,5.00138678591,4.87930860095,0.170953090992,0.0150821344,0.0150821344,0.0150821344,0.056559298975,0.267702353046,0.0726237536333,1.3092356159,0.0150821344,0.0150821344,0.878024225642,0.0150821344,0.0711835199083,1.41093969657,0.0150821344,0.0150821344,0.205180403675,0.0150821344,0.149046800558,1.75516555917,0.109778923288,0.0150821344,0.0150821344,0.154409986571,0.0150821344,0.16513598095,1.42604448615,0.122765729808,2.62747415739,0.159847002333,0.0150821344,0.0711835199083,0.410260807496,0.0150821344,5.66179868602,0.0150821344,0.741536677246,1.31815331743,0.0150821344,1.1086032793,3.91990926124,3.66977978909,0.0150821344,0.260586991067,0.628309520875,7.18511898735,0.121408173258,0.427540229154,1.90292233319,0.365622511713,0.115683379683,0.0150821344,0.0150821344,3.6872467686,0.0150821344,0.0150821344,0.0150821344,1.9245185655,0.0674587689667
