Year,Conference,Title,Topic 0,Topic 1
1986,"POPL","Remote attribute updating for language-based editors - Thomas W. Reps Carla Marceau Tim Teitelbaum",0.1831049968,0.1831049968
1986,"POPL","Dynamically bypassing copy rule chains in attribute grammars - Roger Hoover",0.1831049968,0.1831049968
1986,"POPL","High-quality code generation via bottom-up tree pattern matching - Philip J. Hatcher Thomas W. Christopher",0.1831049968,0.1831049968
1986,"POPL","A parallel language and its compilation to multiprocessor machines or VLSI - Marina C. Chen",0.1831049968,0.1831049968
1986,"POPL","Towards programming with knowledge expressions - Reino Kurki-Suonio",0.1831049968,0.1831049968
1986,"POPL","Limitations of synchronous communication with static process structure in languages for distributed computing - Barbara Liskov Maurice Herlihy Lucy Gilbert",0.1831049968,0.1831049968
1986,"POPL","Atomic data abstractions in a distributed collaborative editing system - Irene Greif Robert Seliger William E. Weihl",0.1831049968,0.1831049968
1986,"POPL","A really abstract concurrent model and its temporal logic - Howard Barringer Ruurd Kuiper Amir Pnueli",0.1831049968,0.1831049968
1986,"POPL","Expressing interesting properties of programs in propositional temporal logic - Pierre Wolper",0.1831049968,0.1831049968
1986,"POPL","Operational semantics of a parallel object-oriented language - Pierre America Jaco de Bakker Joost N. Kok Jan J. M. M. Rutten",0.1831049968,0.1831049968
1986,"POPL","Equational logic programming - Jia-Huai You P. A. Subrahmanyam",0.1831049968,0.1831049968
1986,"POPL","Logic and inheritance - Hassan A&#239;t-Kaci Roger Nasr",0.1831049968,0.1831049968
1986,"POPL","Global storage allocation in attribute evaluation - Takuya Katayama Hisashi Sasaki",0.1831049968,0.1831049968
1986,"POPL","Unification in many-sorted algebras as a device for incremental semantic analysis - Gregor Snelting Wolfgang Henhapl",0.1831049968,0.1831049968
1986,"POPL","Distributed data structures in Linda - Nicholas Carriero David Gelernter Jerrold Leichter",0.1831049968,0.1831049968
1986,"POPL","Para-functional programming - Paul Hudak Lauren Smith",0.1831049968,0.1831049968
1986,"POPL","Annotations for distributed programming in logic - Raghu Ramakrishnan Abraham Silberschatz",0.1831049968,0.1831049968
1986,"POPL","Representation independence and data abstraction - John C. Mitchell",0.1831049968,0.1831049968
1986,"POPL","Using dependent types to express modular structure - David B. MacQueen",0.1831049968,0.1831049968
1986,"POPL","Type is not a type - Albert R. Meyer Mark B. Reinhold",0.1831049968,0.1831049968
1986,"POPL","Data flow analysis of applicative programs using minimal function graphs - Neil D. Jones Alan Mycroft",0.1831049968,0.1831049968
1986,"POPL","A mechanically certified theorem about optimal concurrency of sorting networks - Christian Lengauer Chua-Huang Huang",0.1831049968,0.1831049968
1986,"POPL","Executable specifications with quantifiers in the FASE system - Stan Jefferson Samuel N. Kamin",0.1831049968,0.1831049968
1986,"POPL","Finding the source of type errors - Mitchell Wand",0.1831049968,0.1831049968
1986,"POPL","A maximum-flow approach to anomaly isolation in unification-based incremental type inference - Gregory F. Johnson Janet A. Walz",0.1831049968,0.1831049968
1986,"POPL","Hierarchical VLSI design systems based on attribute grammars - Larry G. Jones Janos Simon",0.1831049968,0.1831049968
1986,"POPL","Code motion of control structures in high-level languages - Ron Cytron Andy Lowry F. Kenneth Zadeck",0.1831049968,0.1831049968
1986,"POPL","Compilers and staging transformations - Ulrik J&#248;rring William L. Scherlis",0.1831049968,0.1831049968
1986,"POPL","Higher-order strictness analysis in untyped lambda calculus - Paul Hudak Jonathan Young",0.1831049968,0.1831049968
1986,"POPL","Retargetable high-level alias analysis - Deborah S. Coutant",0.1831049968,0.1831049968
1987,"POPL","Specification and verification of concurrent programs by A<inline-equation><f>&forall;</f></inline-equation>automata - Z. Manna A. Pnueli",0.1831049968,0.1831049968
1987,"POPL","Axioms for concurrent objects - M. P. Herlihy J. M. Wing",0.1831049968,0.1831049968
1987,"POPL","Strictness analysis and denotational abstract interpretation - F. Nielson",0.1831049968,0.1831049968
1987,"POPL","Compiling strictness into streams - C. V. Hall D. S. Wise",0.1831049968,0.1831049968
1987,"POPL","On strictness and its analysis - T.-M. Kuo P. Mishra",0.1831049968,0.1831049968
1987,"POPL","A logic for partially specified data structures - M. D. Moshier W. C. Rounds",0.1831049968,0.1831049968
1987,"POPL","An improvement to bottom-up tree pattern matching - D. R. Chase",0.1831049968,0.1831049968
1987,"POPL","LUSTRE: a declarative language for real-time programming - P. Caspi D. Pilaud N. Halbwachs J. A. Plaice",0.1831049968,0.1831049968
1987,"POPL","Appraising fairness in distributed languages - K. R. Apt N. Francez S. Katz",0.1831049968,0.1831049968
1987,"POPL","Concurrent transition system semantics of process networks - E. W. Stark",0.1831049968,0.1831049968
1987,"POPL","Semantics for concurrency without powerdomains - F. J. Oles",0.1831049968,0.1831049968
1987,"POPL","Full abstraction of a real-time denotational semantics for an OCCAM-like language - C. Huizing R. Gerth W. P. deRoever",0.1831049968,0.1831049968
1987,"POPL","Completeness and incompleteness of trace-based network proof systems - J. Widom D. Gries F. B. Schneider",0.1831049968,0.1831049968
1987,"POPL","Computable values can be classical - V. Breazu-Tannen A. R. Meyer",0.1831049968,0.1831049968
1987,"POPL","Skinny and fleshy failures of relative completeness - D. Leivant T. Fernando",0.1831049968,0.1831049968
1987,"POPL","Empty types in polymorphic lambda calculus - A. R. Meyer J. C. Mitchell E. Moggi R. Statman",0.1831049968,0.1831049968
1987,"POPL","Scheduling arithmetic and load operations in parallel with no spilling - D. Bernstein J. M. Jaffe M. Rodeh",0.1831049968,0.1831049968
1987,"POPL","Computation of aliases and support sets - A. Neirynck A. J. Demers",0.1831049968,0.1831049968
1987,"POPL","A realistic compiler generator based on high-level semantics: another progress report - P. Lee U. Pleban",0.1831049968,0.1831049968
1987,"POPL","Extensions for multi-module records in conventional programming languages - D. R. Cheriton M. E. Wolf",0.1831049968,0.1831049968
1987,"POPL","Views: a way for pattern matching to cohabit with data abstraction - P. Wadler",0.1831049968,0.1831049968
1987,"POPL","A calculus for assignments in higher-order languages - Mattias Felleisen D. P. Friedman",0.1831049968,0.1831049968
1987,"POPL","Semantic parallelization: a practical exercise in abstract interpretation - P. Jouvelot",0.1831049968,0.1831049968
1987,"POPL","The concurrent logic programming language CP: Definition and operational semantics - V. A. Saraswat",0.1831049968,0.1831049968
1987,"POPL","Automatic decomposition of scientific programs for parallel execution - r. Allen D. Callahan K. Kennedy",0.1831049968,0.1831049968
1987,"POPL","Macro-by-example: Deriving syntactic transformations from their specifications - E. E. Kohlbecker M. Wand",0.1831049968,0.1831049968
1987,"POPL","Binding performance at language design time - J. Cai R. Paige",0.1831049968,0.1831049968
1987,"POPL","Environments as first class objects - D. Gelernter S. Jagannathan T. London",0.1831049968,0.1831049968
1987,"POPL","Constraint logic programming - J. Jaffar J.-L. Lassez",0.1831049968,0.1831049968
1984,"POPL","Expressional loops - Richard C. Waters",694.1774707230,3828.1887392706
1984,"POPL","Grids - Harold L. Ossher",679.9572620640,2855.4089479296
1984,"POPL","Constraining-unification and the programming language unicorn - Robert G. Bandes",754.7021988996,945.6640110940
1984,"POPL","Implementation of an interpreter for abstract equations - Christoph M. Hoffmann Michael J. O`Donnell",3360.3436989711,819.0225110225
1984,"POPL","A combinator-based compiler for a functional language - Paul Hudak David Kranz",1302.6031736989,2331.7630362948
1984,"POPL","Treat - an applicative code generator - Jerald S. Schwarz Dean Rubine",642.1495835106,1103.2166264830
1984,"POPL","Inverse currying transformation on attribute grammars - Reinhard Wilhelm",1652.0040439554,124.3621660382
1984,"POPL","The global storage needs of a subcomputation - Jean-Claude Raoult Ravi Sethi",595.5799324420,1791.7862775516
1984,"POPL","A types-as-sets semantics for milner-style polymorphism - Mitchell Wand",2442.9071179766,15.4590920170
1984,"POPL","An ideal model for recursive polymorphic types - David MacQueen Gordon Plotkin Ravi Sethi",2263.1801796668,0.1860303268
1984,"POPL","Coercion and type inference - John C. Mitchell",3122.1801115109,0.1860984827
1984,"POPL","Editing by example - Robert Nix",3087.6147312725,1641.7514787211
1984,"POPL","Reflection and semantics in LISP - Brian Cantwell Smith",3869.1116847298,2456.2545252638
1984,"POPL","Direct implementation of compiler specifications or the pascal p-code compiler revisited - Don Milos Uwe Pleban George Loegel",2270.4832926098,482.8829173838
1984,"POPL","Paragon - Mark Sherman",787.1484044829,2452.2178055107
1984,"POPL","Applicative programming and digital design - Steven D. Johnson",1653.5039309389,1035.8622790548
1984,"POPL","Pattern driven lazy reduction - P. A. Subrahmanyam J-H. You",1834.2035365492,539.1626734444
1984,"POPL","Static inference of properties of applicative programs - Prateek Mishra Robert M. Keller",2396.7738485911,879.5923614025
1984,"POPL","The semantics of local storage, or what makes the free-list free?(Preliminary Report) - Joseph Y. Halpern Albert R. Meyer B. A. Trakhtenbrot",2405.1338611352,1271.2323488584
1984,"POPL","On relative completeness of programming logics - Michal Grabowski",998.6431146309,66.7230953627
1984,"POPL","A good Hoare axiom system for an ALGOL-like language - Joseph Y. Halpern",2243.9051956850,620.4610143086
1984,"POPL","A hierarchical basis for reordering transformations - Joe Warren",0.1858076340,3432.1804023596
1984,"POPL","A less dynamic memory allocation scheme for algol-like languages - Thomas P. Murtagh",0.1858433799,2004.1803666137
1984,"POPL","Interactive proof checking - Thomas Reps Bowen Alpern",3545.2830794862,174.0831305074
1984,"POPL","Creating efficient systems for object-oriented languages - Norihisa Suzuki Minoru Terada",1659.3905343808,1103.9756756128
1984,"POPL","Efficient implementation of the smalltalk-80 system - L. Peter Deutsch Allan M. Schiffman",1345.1032727164,1437.2629372773
1984,"POPL","Generalized fair termination - Nissim Francez Dexter Kozen",332.2175619963,1444.1486479973
1984,"POPL","Temporal verification of carrier-sense local area network protocols - D. E. Shasha A. Pnueli W. Ewald",2972.0278033415,1090.3384066521
1984,"POPL","Efficient applicative data types - Eugene W. Myers",94.9812728461,2865.3849371475
1984,"POPL","Stop losing sleep over incomplete data type specifications - Jean Jacques Thiel",1348.7687886793,46.5974213143
1984,"POPL","Completion of a set of rules modulo a set of equations - Jean-Pierre Jouannaud Helene Kirchner",2714.8687473247,15.4974626689
1984,"POPL","Systems programming in concurrent prolog - Ehud Shapiro",3213.2813272250,1903.0848827686
1985,"POPL","Embedding type structure in semantics - Mitchell Wand",0.1831049968,0.1831049968
1985,"POPL","Declaration-free type checking - Prateek Mishra Uday S. Reddy",0.1831049968,0.1831049968
1985,"POPL","A model and temporal proof system for networks of processes - Van Nguyen David Gries Susan Owicki",0.1831049968,0.1831049968
1985,"POPL","Logical and mathematical reasoning about imperative programs - Daniel Leivant",0.1831049968,0.1831049968
1985,"POPL","A meta-language and system for nonlocal incremental attribute evaluation in language-based editors - Gregory F. Johnson C. N. Fischer",0.1831049968,0.1831049968
1985,"POPL","Incremental compilation of optimized code - Lori L. Pollock Mary Lou Soffa",0.1831049968,0.1831049968
1985,"POPL","A greedy concurrent approach to incremental code generation - Ray Ford Duangkaew Sawamiphakdi",0.1831049968,0.1831049968
1985,"POPL","On linearizing parallel code - Jeanne Ferrante Mary Mace",0.1831049968,0.1831049968
1985,"POPL","Compiling path expressions into VLSI circuits - T. S. Anantharaman E. M. Clarke M. J. Foster B. Mishra",0.1831049968,0.1831049968
1985,"POPL","Constraints - Leslie Lamport Fred B. Schneider",0.1831049968,0.1831049968
1985,"POPL","High-level language facilities for low-level services - Christopher W. Fraser David R. Hanson",0.1831049968,0.1831049968
1985,"POPL","Matchmaker - Michael B. Jones Richard F. Rashid Mary R. Thompson",0.1831049968,0.1831049968
1985,"POPL","Types as intervals - Robert Cartwright",0.1831049968,0.1831049968
1985,"POPL","Smart recompilation - Walter F. Tichy Mark C. Baker",0.1831049968,0.1831049968
1985,"POPL","Constraining control - Daniel P. Friedman Christopher T. Haynes",0.1831049968,0.1831049968
1985,"POPL","Closurize and concentrate - Julian Padget John Fitch",0.1831049968,0.1831049968
1985,"POPL","Functional programing and the logical variable - Gary Lindstrom",0.1831049968,0.1831049968
1985,"POPL","Analyzing aliases of reference formal parameters - Keith D. Cooper",0.1831049968,0.1831049968
1985,"POPL","Constant propagation with conditional branches - Mark N. Wegman Frank Kenneth Zadeck",0.1831049968,0.1831049968
1985,"POPL","The aggregate update problem in functional programming systems - Paul Hudak Adrienne Bloss",0.1831049968,0.1831049968
1985,"POPL","Semantics-directed code generation - Andrew W. Appel",0.1831049968,0.1831049968
1985,"POPL","Optimal scheduling of arithmetic operations in parallel with memory access (preliminary version) - David Bernstein Ron Y. Pinter Michael Rodeh",0.1831049968,0.1831049968
1985,"POPL","Efficient tree pattern matching (extended abstract) - Alfred V. Aho Mahadevan Ganapathi",0.1831049968,0.1831049968
1985,"POPL","Abstract types have existential types - John C. Mitchell Gordon D. Plotkin",0.1831049968,0.1831049968
1985,"POPL","Principles of OBJ2 - Kokichi Futatsugi Joseph A. Goguen Jean-Pierre Jouannaud Jos&#233; Meseguer",0.1831049968,0.1831049968
1985,"POPL","Program specification and development in standard ML - Donald Sannella Andrzej Tarlecki",0.1831049968,0.1831049968
