Year,FPCA # of papers,FPCA Topic 0,FPCA Topic 1,FPCA Topic 2,FPCA Topic 3,FPCA Topic 4,FPCA Topic 5,FPCA Topic 6,FPCA Topic 7,FPCA Topic 8,FPCA Topic 9,FPCA Topic 10,FPCA Topic 11,FPCA Topic 12,FPCA Topic 13,FPCA Topic 14,FPCA Topic 15,FPCA Topic 16,FPCA Topic 17,FPCA Topic 18,FPCA Topic 19,FPCA Topic 20,FPCA Topic 21,FPCA Topic 22,FPCA Topic 23,FPCA Topic 24,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19,ICFP Topic 20,ICFP Topic 21,ICFP Topic 22,ICFP Topic 23,ICFP Topic 24,ICFPEE # of papers,ICFPEE Topic 0,ICFPEE Topic 1,ICFPEE Topic 2,ICFPEE Topic 3,ICFPEE Topic 4,ICFPEE Topic 5,ICFPEE Topic 6,ICFPEE Topic 7,ICFPEE Topic 8,ICFPEE Topic 9,ICFPEE Topic 10,ICFPEE Topic 11,ICFPEE Topic 12,ICFPEE Topic 13,ICFPEE Topic 14,ICFPEE Topic 15,ICFPEE Topic 16,ICFPEE Topic 17,ICFPEE Topic 18,ICFPEE Topic 19,ICFPEE Topic 20,ICFPEE Topic 21,ICFPEE Topic 22,ICFPEE Topic 23,ICFPEE Topic 24,LFP # of papers,LFP Topic 0,LFP Topic 1,LFP Topic 2,LFP Topic 3,LFP Topic 4,LFP Topic 5,LFP Topic 6,LFP Topic 7,LFP Topic 8,LFP Topic 9,LFP Topic 10,LFP Topic 11,LFP Topic 12,LFP Topic 13,LFP Topic 14,LFP Topic 15,LFP Topic 16,LFP Topic 17,LFP Topic 18,LFP Topic 19,LFP Topic 20,LFP Topic 21,LFP Topic 22,LFP Topic 23,LFP Topic 24,OOPSLA # of papers,OOPSLA Topic 0,OOPSLA Topic 1,OOPSLA Topic 2,OOPSLA Topic 3,OOPSLA Topic 4,OOPSLA Topic 5,OOPSLA Topic 6,OOPSLA Topic 7,OOPSLA Topic 8,OOPSLA Topic 9,OOPSLA Topic 10,OOPSLA Topic 11,OOPSLA Topic 12,OOPSLA Topic 13,OOPSLA Topic 14,OOPSLA Topic 15,OOPSLA Topic 16,OOPSLA Topic 17,OOPSLA Topic 18,OOPSLA Topic 19,OOPSLA Topic 20,OOPSLA Topic 21,OOPSLA Topic 22,OOPSLA Topic 23,OOPSLA Topic 24,OOPSLA98ADDEND # of papers,OOPSLA98ADDEND Topic 0,OOPSLA98ADDEND Topic 1,OOPSLA98ADDEND Topic 2,OOPSLA98ADDEND Topic 3,OOPSLA98ADDEND Topic 4,OOPSLA98ADDEND Topic 5,OOPSLA98ADDEND Topic 6,OOPSLA98ADDEND Topic 7,OOPSLA98ADDEND Topic 8,OOPSLA98ADDEND Topic 9,OOPSLA98ADDEND Topic 10,OOPSLA98ADDEND Topic 11,OOPSLA98ADDEND Topic 12,OOPSLA98ADDEND Topic 13,OOPSLA98ADDEND Topic 14,OOPSLA98ADDEND Topic 15,OOPSLA98ADDEND Topic 16,OOPSLA98ADDEND Topic 17,OOPSLA98ADDEND Topic 18,OOPSLA98ADDEND Topic 19,OOPSLA98ADDEND Topic 20,OOPSLA98ADDEND Topic 21,OOPSLA98ADDEND Topic 22,OOPSLA98ADDEND Topic 23,OOPSLA98ADDEND Topic 24,OOPSLACOMPANION # of papers,OOPSLACOMPANION Topic 0,OOPSLACOMPANION Topic 1,OOPSLACOMPANION Topic 2,OOPSLACOMPANION Topic 3,OOPSLACOMPANION Topic 4,OOPSLACOMPANION Topic 5,OOPSLACOMPANION Topic 6,OOPSLACOMPANION Topic 7,OOPSLACOMPANION Topic 8,OOPSLACOMPANION Topic 9,OOPSLACOMPANION Topic 10,OOPSLACOMPANION Topic 11,OOPSLACOMPANION Topic 12,OOPSLACOMPANION Topic 13,OOPSLACOMPANION Topic 14,OOPSLACOMPANION Topic 15,OOPSLACOMPANION Topic 16,OOPSLACOMPANION Topic 17,OOPSLACOMPANION Topic 18,OOPSLACOMPANION Topic 19,OOPSLACOMPANION Topic 20,OOPSLACOMPANION Topic 21,OOPSLACOMPANION Topic 22,OOPSLACOMPANION Topic 23,OOPSLACOMPANION Topic 24,OOPSLAECOOP # of papers,OOPSLAECOOP Topic 0,OOPSLAECOOP Topic 1,OOPSLAECOOP Topic 2,OOPSLAECOOP Topic 3,OOPSLAECOOP Topic 4,OOPSLAECOOP Topic 5,OOPSLAECOOP Topic 6,OOPSLAECOOP Topic 7,OOPSLAECOOP Topic 8,OOPSLAECOOP Topic 9,OOPSLAECOOP Topic 10,OOPSLAECOOP Topic 11,OOPSLAECOOP Topic 12,OOPSLAECOOP Topic 13,OOPSLAECOOP Topic 14,OOPSLAECOOP Topic 15,OOPSLAECOOP Topic 16,OOPSLAECOOP Topic 17,OOPSLAECOOP Topic 18,OOPSLAECOOP Topic 19,OOPSLAECOOP Topic 20,OOPSLAECOOP Topic 21,OOPSLAECOOP Topic 22,OOPSLAECOOP Topic 23,OOPSLAECOOP Topic 24,PLDI # of papers,PLDI Topic 0,PLDI Topic 1,PLDI Topic 2,PLDI Topic 3,PLDI Topic 4,PLDI Topic 5,PLDI Topic 6,PLDI Topic 7,PLDI Topic 8,PLDI Topic 9,PLDI Topic 10,PLDI Topic 11,PLDI Topic 12,PLDI Topic 13,PLDI Topic 14,PLDI Topic 15,PLDI Topic 16,PLDI Topic 17,PLDI Topic 18,PLDI Topic 19,PLDI Topic 20,PLDI Topic 21,PLDI Topic 22,PLDI Topic 23,PLDI Topic 24,POPL # of papers,POPL Topic 0,POPL Topic 1,POPL Topic 2,POPL Topic 3,POPL Topic 4,POPL Topic 5,POPL Topic 6,POPL Topic 7,POPL Topic 8,POPL Topic 9,POPL Topic 10,POPL Topic 11,POPL Topic 12,POPL Topic 13,POPL Topic 14,POPL Topic 15,POPL Topic 16,POPL Topic 17,POPL Topic 18,POPL Topic 19,POPL Topic 20,POPL Topic 21,POPL Topic 22,POPL Topic 23,POPL Topic 24
2003,0,,,,,,,,,,,,,,,,,,,,,,,,,,27,281.595333301,93.0373429838,0.0340941595,1335.80556595,10.3049129354,163.694610981,213.319482335,0.0340941595,450.166657029,89.7123965892,0.0340941595,46.7457385899,0.0340941595,136.973266938,0.0340941595,6.19540110977,39.8828412306,31.6383778151,21.305371872,0.0340941595,231.587795969,151.235115293,0.0340941595,952.079914876,219.55579129,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,101,5.05324537061,27.7999362296,1.01400500311,0.613252357095,49.4579174154,20.1066954139,10.6686995902,1.01400500311,83.2818237798,54.7908667787,1.01400500311,15.1875839645,1.01400500311,11.3367769668,1.01400500311,5.80651342629,19.377967433,45.1427552021,7.17049419002,1.01400500311,7.04054749999,186.516439542,1.01400500311,9.02240734339,826.766535076,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.349792399443,241.580978927,0.0340941595,197.139498911,224.686081234,10.9338501316,5.5150656161,0.0340941595,10.2735193887,334.372171196,0.0340941595,1301.84541445,0.0340941595,331.387423473,0.0340941595,247.142200938,731.641396636,219.739028005,686.019788686,0.0340941595,389.040533335,243.204427681,0.0340941595,63.5860643953,59.5493166129,25,188.487918809,87.0777479228,0.0340941595,893.062489066,378.281597311,65.6422390773,58.2357973615,0.0340941595,115.087238364,170.879608003,0.0340941595,152.671847583,0.0340941595,431.209843741,0.0340941595,94.1854988056,198.608624583,16.5185249369,182.440860409,0.0340941595,308.065110276,257.730230636,0.0340941595,716.364281404,12.0642365822
1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,42,216.02355078,16.7169267395,5.77262618631,174.223718022,149.101795277,207.717451511,416.810011427,5.77262618631,2.05414941628,6.01267799408,5.77262618631,60.745954493,5.77262618631,218.029369823,5.77262618631,7.57426109176,38.5618378623,74.3578810299,87.3490288434,5.77262618631,15.4004860725,9.01184360846,5.77262618631,854.686577185,67.3997828388,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,31,75.0212807285,3.61341202365,0.0340941595,19.6380279522,54.9650565021,271.586967028,126.494452614,0.0340941595,29.2160401613,63.2699972675,0.0340941595,1286.86957924,0.0340941595,836.717234948,0.0340941595,84.3407568263,198.864314499,232.945408005,497.850167005,0.0340941595,62.6531829659,122.647151003,0.0340941595,221.2302431,38.819455256,37,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595
1986,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,32,374.551526436,5.35679045932,9.74124828522,58.8640791566,102.208698041,486.067892934,1071.24401786,9.74124828522,5.32524931059,8.87443803066,9.74124828522,172.617936437,9.74124828522,90.2237667015,9.74124828522,15.1159890194,101.730826421,478.859414844,41.6997404245,9.74124828522,6.72560273937,21.9490883816,9.74124828522,207.910105103,75.0884536873,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595
1987,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,44,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595
1984,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,37,305.47565339,1.87077353487,1.94333049595,66.7080664601,260.198546579,514.163347425,915.878475872,1.94333049595,3.09785760387,8.88895406235,1.94333049595,33.1830524502,1.94333049595,70.4917141672,1.94333049595,8.07640464206,150.028228954,337.574020479,44.6790809128,1.94333049595,2.35293951498,37.9573535646,1.94333049595,95.0098082418,84.7498977974,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,32,723.15365694,120.664591466,0.0340941595,122.041451803,28.6918653008,791.203164843,456.265989184,0.0340941595,41.5449683341,4.93847480652,0.0340941595,32.1708718961,0.0340941595,160.175760574,0.0340941595,2.44080768049,159.265705409,58.2552216604,110.057515402,0.0340941595,1.04509409693,59.819120747,0.0340941595,40.3006690555,121.360015672
1985,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,30,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595,0.0340941595
1982,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,29,320.437836667,0.0340941595,6.47108901893,34.9011756348,148.757777477,492.620097306,595.368790057,6.47108901893,26.6748341122,4.16399486203,6.47108901893,23.0702118488,6.47108901893,31.57039597,6.47108901893,2.03707420883,104.371418838,527.567936682,12.9541642045,6.47108901893,6.01980458904,3.31537433751,6.47108901893,58.7400188161,98.1221448786,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,38,571.614094425,192.522615498,0.0340941595,25.60884841,4.45051403266,813.884808552,114.161869984,0.0340941595,13.1297033678,16.6925129095,0.0340941595,102.528844405,0.0340941595,113.085038588,0.0340941595,28.5729286523,156.429421322,14.663013376,43.0289074507,0.0340941595,7.93630821877,47.0230264519,0.0340941595,36.1140055108,103.904075821
1983,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,28,683.899199088,23.6826148124,0.0340941595,60.6298389315,1.18244926962,435.646482101,73.1114814087,0.0340941595,0.425032020861,8.36359082175,0.0340941595,52.4807455984,0.0340941595,513.555633087,0.0340941595,1.6230832644,290.135725445,21.2060012366,23.9025321689,0.0340941595,13.4222602555,57.9883385309,0.0340941595,132.586215861,154.379613827
1980,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,31,79.7790252607,2.68594292925,2.12536739143,30.9180483327,126.082105459,507.986091197,858.546734592,2.12536739143,8.58769964254,0.0340941595,2.12536739143,72.5922505027,2.12536739143,8.69568298203,2.12536739143,5.3279825621,187.056434241,362.14142474,10.7967263714,2.12536739143,0.0340941595,36.1704372456,2.12536739143,37.7521105484,295.626606999,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,25,915.301066184,41.1389188482,0.0340941595,115.048968194,3.72518089285,802.181035426,72.3462505676,0.0340941595,25.1325928875,0.0340941595,0.0340941595,17.732864171,0.0340941595,238.927196741,0.0340941595,0.0340941595,149.461310224,5.11877479936,9.10438798192,0.0340941595,4.64277775469,1.71038952185,0.0340941595,15.8624119274,115.431380431
1981,26,299.414345576,1.30858008388,9.73755605825,52.5330535839,4.13093492188,710.535439094,560.545994651,9.73755605825,44.9758514902,3.30830228106,9.73755605825,9.80827397443,9.73755605825,34.973715938,9.73755605825,2.25303165861,3.47187847512,26.1198647245,127.700281976,9.73755605825,2.19619904021,9.38616591002,9.73755605825,11.88492966,61.7580031568,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,24,559.512989894,35.9419528586,0.0340941595,18.8487391329,17.7176643261,698.146176489,48.0192242269,0.0340941595,62.5338733444,37.9340333659,0.0340941595,9.83015169197,0.0340941595,327.527497978,0.0340941595,8.49450570307,277.654678151,99.9752818698,196.83428954,0.0340941595,12.9865220429,27.554917704,0.0340941595,19.1636616765,104.270868209
