paper,CDRS/CDRS-the-paper-gamma.dat,12.5714055711,1351.6639031988,74.3072566099,0.0373292156,53.8355960746,324.4586292747,86.4277136358,77.1368265010,207.9612778056,109.6798989308,7.8845354693,72.9689246037,63.0710854483,0.0373292156,3073.0160640873,863.6610484469,66.7547131197,88.1983886714,0.0373292156,0.0373292156
cite,CDRS/related/00210604-gamma.dat,54.5691866568,238.5204165896,42.0435926648,56.9431394614,35.8493231445,43.6469574395,216.3536882651,123.5627730567,970.2739438348,0.0373292156,267.2329276259,38.1407662396,90.0390527730,53.5934577350,25.5343566230,566.6443659436,5.3414671911,0.0373292156,12.3711911007,20.0113195350
cite,CDRS/related/06-popl-autolocker-gamma.dat,18.7048637607,0.0373292156,116.2511085004,0.0373292156,53.0204337742,122.3260071689,137.6342069430,49.8102836185,304.5913848889,509.7259904982,0.0373292156,330.6101738038,346.3025801180,135.4975534319,4734.1677575748,280.2756341901,291.3598698451,161.2820901168,0.0373292156,0.0373292156
cite,CDRS/related/Linearizability-ACorrectnessConditionForConcurrentObjects-gamma.dat,0.0373292156,52.4031911846,83.2967189490,2.6071186078,47.7600083245,192.3944048671,558.1549085798,0.0373292156,382.0635976510,129.0996026418,167.4785741229,33.9702464128,848.8984852394,0.0373292156,3172.9728462678,31.1665103078,932.8893307155,29.7953830092,232.1695681326,193.5141016508
cite,CDRS/related/OPODIS2006-BA-gamma.dat,63.1427715489,356.0132148823,75.8040429034,91.0116749910,58.0959746824,155.1438675344,10.8834121588,0.0373292156,126.2584741707,135.9805562234,3.3300660469,45.1387706924,102.7142275764,0.0373292156,1226.0875819682,727.3534487538,43.6447483920,33.9944349239,0.0373292156,0.0373292156
cite,CDRS/related/ScalaOverview-gamma.dat,0.0373292156,441.6440443981,64.9108825891,2.4717140006,47.5761273426,66.1947852691,666.5198947610,62.8385071633,1326.1943274609,1179.7312895409,4883.6820804838,79.0424704017,192.2111001509,0.0373292156,104.1958777525,217.0068990204,275.3308088925,23.4934037579,7.5440453164,64.0836675782
cite,CDRS/related/ShavitTouitou-gamma.dat,405.1194842543,0.0373292156,203.4092368670,9.8874043680,80.9486917027,69.0883082311,144.3895705777,109.0426632032,379.7238320227,50.6209772578,129.1333696341,113.2131685326,277.9292413101,162.8135913933,3002.8988741302,127.2406106476,511.9037823440,45.9927138716,115.8472737588,9.5064609886
cite,CDRS/related/chp%3A10.1007%2F978-3-540-89740-8_10-gamma.dat,58.3724376328,0.0373292156,11.9380652489,0.0373292156,352.4566552454,300.7531905535,73.9579451289,133.9132151114,148.6587591280,0.0373292156,0.0373292156,0.0373292156,0.0373292156,180.6556368328,1406.1107954226,707.0927797383,0.0373292156,92.5011413283,0.0373292156,0.0373292156
cite,CDRS/related/consistencycacm-gamma.dat,2.1267088504,0.0373292156,15.1998612674,67.2436016540,72.1968107162,316.0957531344,305.1326927481,46.7198799523,260.7617945718,0.0373292156,48.8093953639,56.6461447394,381.4226578371,0.0373292156,1682.2630135078,14.5288613489,237.3467568009,13.1471222964,322.6310521666,6.3624897088
cite,CDRS/related/distil-gamma.dat,92.9663155283,661.8452050082,48.7577048605,374.1851746562,20.0110832345,0.0373292156,56.1270750946,0.0373292156,2132.8686855398,126.5630575861,411.6873557502,534.7374216606,25.1315340369,31.8555999106,14.8130652134,253.1614689701,31.0192354435,115.4750801263,0.0373292156,142.4295340447
cite,CDRS/related/esop12lockplacements-gamma.dat,0.0373292156,490.2838721030,533.3570042476,0.0373292156,3.0398555536,174.9500290045,159.0525225611,28.0762355230,0.0373292156,88.5867325721,57.8568851553,0.0373292156,218.0202459187,64.5041234772,2515.4136768859,843.9004370276,278.6936582208,39.0512535588,150.6263594043,3.1843762356
cite,CDRS/related/halpert-07-component-gamma.dat,497.9429827188,0.0373292156,135.6295279871,8.0512396706,318.8440509161,170.1268262525,68.8774331910,57.7629491054,81.3656586466,0.0373292156,223.0199197613,74.9552608988,7.4469447257,565.2886743747,1931.6299061762,195.3193859228,62.9953416905,816.3411654106,0.0373292156,0.0373292156
cite,CDRS/related/ieee-tse-00-gamma.dat,647.0404651772,478.8929972869,31.7963295857,26.7256249856,43.5362689764,241.0088583701,88.1057847229,36.0587513006,1656.0685374977,127.7053038615,784.5200863777,410.4975847439,21.1249767086,0.0373292156,16.2808913619,246.8277680102,69.6792171709,201.4139413839,0.0373292156,165.3885383583
cite,CDRS/related/jpdc98-gamma.dat,346.8565319153,2.5982757100,120.8837608645,69.6541719385,143.3843427867,78.0616405533,125.9478972591,922.2138807082,143.0241316426,55.1201359435,529.9480325608,25.0177002832,64.9822827769,62.1059359738,2913.3020572716,516.9325010692,12.6060965450,0.0373292156,2.0325500777,0.0373292156
cite,CDRS/related/lock-inference-for-atomicity-gamma.dat,0.0373292156,4.4253349365,127.9503797075,14.6633651071,41.7285587932,83.9403061167,60.3010939725,22.8458423276,128.9439098994,172.0207288375,282.1638187371,0.0373292156,87.8623753877,306.4070485893,1675.1795175285,419.2959510482,163.1536511794,161.7153852807,0.0373292156,0.0373292156
cite,CDRS/related/oopsla11-atomicity-gamma.dat,0.0373292156,78.0017660868,269.3946191048,2.6889307716,33.0353590319,641.3983423394,119.9398161438,35.0596626922,240.0936282216,153.8779250954,143.0976524543,203.5157249411,114.3248186992,0.0373292156,2726.4197100656,34.8625554569,77.5882982090,894.3849892960,0.0373292156,15.9507980548
