Paper,Type,Name,Distance
1,random1,Theevolutionoflist-copyingalgorithmsandtheneedforstructuredprogramverification-StanleyLee,8.29401122253
1,random1,SurgicalprecisionJITcompilers-TiarkRompf,10.5026168955
1,random1,Incrementalizedpointerandescapeanalysis-FrédéricVivien,4.85467066029
1,random1,AmechanizedsemanticsforC++objectconstructionanddestruction,11.5030203629
1,random1,AparallellanguageanditscompilationtomultiprocessormachinesorVLSI-MarinaC.Chen,9.53742836249
1,random1,Relationalinductiveshapeanalysis-Bor-YuhEvanChang,8.23279803388
1,random1,Communicationoptimizationandcodegenerationfordistributedmemorymachines-SamanP.Amarasinghe,9.64264021667
1,random1,Acombinator-basedcompilerforafunctionallanguage-PaulHudak,4.87355076208
1,random1,Constraining-unificationandtheprogramminglanguageunicorn-RobertG.Bandes,8.94281456694
1,random1,Does“justintime”=“betterlatethannever”?-MichaelP.Plezbert,1.01529272712
1,random1,Automaticallyprovingthecorrectnessofcompileroptimizations-SorinLerner,5.53783170749
1,random1,Contextualeffectsforversion-consistentdynamicsoftwareupdatingandsafeconcurrentprogramming-IulianNeamtiu,7.83913980474
1,random1,Cryptographicallysoundimplementationsfortypedinformation-flowsecurity-CédricFournet,10.28246508
1,random1,Provingacceptabilitypropertiesofrelaxednondeterministicapproximateprograms-MichaelCarbin,8.48169931557
1,random1,PrincipaltypingsforJava-likelanguages-DavideAncona,12.8568665257
1,random1,Formalparametricpolymorphism-MartínAbadi,10.9722494413
1,random1,Generatingpreciseandconciseproceduresummaries-GretaYorsh,6.94589926968
1,random1,Split-streamdictionaryprogramcompression-StevenLucco,10.0419480258
1,random1,Onlinearizingparallelcode-JeanneFerrante,9.45884947426
1,random1,Abstracttypeshaveexistentialtypes-JohnC.Mitchell,9.82030255851
1,random1,Mul-T:ahigh-performanceparallelLisp-D.A.Kranz,9.13302722269
1,random2,Onthepowerofcoercionabstraction-JulienCretin,11.8850870431
1,random2,Paralocks:role-basedinformationflowcontrolandbeyond-NiklasBroberg,9.84808243845
1,random2,Thepowerofparameterizationincoinductiveproof-Chung-KilHur,11.6528912662
1,random2,Fortranattengigaflops:theconnectionmachineconvolutioncompiler-MarkBromley,9.41951719703
1,random2,Finaldatatypespecifications:anewdatatypespecificationmethod-SamuelKamin,8.91546106497
1,random2,FastTrack:efficientandprecisedynamicracedetection-CormacFlanagan,10.8470902314
1,random2,Atypedeclarationandinferencesystemforsmalltalk-AlanH.Borning,11.4786037095
1,random2,Improvingregisterallocationforsubscriptedvariables-DavidCallahan,11.0759997128
1,random2,Racedetectionforwebapplications-BorisPetrov,10.1811824978
1,random2,Lifetime-sensitivemoduloscheduling-RichardA.Huff,11.8696793104
1,random2,Assessingsecuritythreatsofloopingconstructs-PasqualeMalacaria,8.7598696233
1,random2,Sacrificingsimplicityforconvenience:Wheredoyoudrawtheline?-J.H.Williams,10.2484636765
1,random2,Betterstaticmemorymanagement:improvingregion-basedanalysisofhigher-orderlanguages-AlexanderAiken,5.9014084952
1,random2,ESP:alanguageforprogrammabledevices-SanjeevKumar,8.90757990567
