Paper,Type,Name,Distance
1,random1,Modalitiesformodelchecking(extendedabstract):branchingtimestrikesback-E.AllenEmerson,3345.12551928
1,random1,ProbabilisticcoherencespacesarefullyabstractforprobabilisticPCF-ThomasEhrhard,4240.62264173
1,random1,VYRD:verifYingconcurrentprogramsbyruntimerefinement-violationdetection-TayfunElmas,4050.92231098
1,random1,Creatingefficientsystemsforobject-orientedlanguages-NorihisaSuzuki,2737.67099866
1,random1,Actorinductionandmeta-evaluation-CarlHewitt,3220.6934215
1,random1,Jungloidmining:helpingtonavigatetheAPIjungle-DavidMandelin,4064.69432093
1,random1,AnnoDomini:fromtypetheorytoYear2000conversiontool-PeterHarryEidorff,3774.84771171
1,random1,Selectivememoization-UmutA.Acar,3629.44521933
1,random1,Logic-flowanalysisofhigher-orderprograms-MatthewMight,2256.13585184
1,random1,Ameta-languageandsystemfornonlocalincrementalattributeevaluationinlanguage-basededitors-GregoryF.Johnson,2999.69461669
1,random1,Primesubprogramparsingofaprogram-RobertE.Tarjan,2571.45387883
1,random1,Automaticgenerationofnear-optimallinear-timetranslatorsfornon-circularattributegrammars-RinaCohen,3998.18923304
1,random1,Adecisionprocedureforsubsetconstraintsoverregularlanguages-PieterHooimeijer,3597.44967098
1,random1,Fromparametricitytoconservationlaws,4141.65666484
1,random1,DesignandimplementationoftheUWIllustratedcompiler-K.Andrews,3477.05657947
1,random1,ObjectiveML:asimpleobject-orientedextensionofML-DidierRémy,2232.98161462
1,random1,Datarepresentationsynthesis-PeterHawkins,4338.20455173
1,random1,MaJIC:compilingMATLABforspeedandresponsiveness-GeorgeAlmási,2972.37798742
1,random1,SAFECode:enforcingaliasanalysisforweaklytypedlanguages-DinakarDhurjati,3417.00060998
1,random1,Garbagecollectingtheworld-BernardLang,3906.96247598
1,random2,Bootstrapping:atechniqueforscalableflowandcontext-sensitivepointeraliasanalysis-VineetKahlon,2428.18938498
1,random2,Thefunctionalpowerofparameterpassagemechanism-AdrienneCritcher,1648.97697664
1,random2,Theimplementationandevaluationoffusionandcontractioninarraylanguages-E.ChristopherLewis,4466.42840897
1,random2,Extensionalpolymorphism-CatherineDubois,4524.39903568
1,random2,Programmingad-hocnetworksofmobileandresource-constraineddevices-YangNi,4444.0903235
1,random2,Lazycodemotion-JensKnoop,3039.80104142
1,random2,Bidwidthanalysiswithapplicationtosiliconcompilation-MarkStephenson,2905.98398405
1,random2,Oninter-proceduralanalysisofprogramswithlistsanddata-AhmedBouajjani,4908.99247172
1,random2,CompilingpathexpressionsintoVLSIcircuits-T.S.Anantharaman,4116.75100529
1,random2,Frompolyvariantflowinformationtointersectionanduniontypes-JensPalsberg,1506.15043923
1,random2,Oncoinductiveequivalencesforhigher-orderprobabilisticfunctionalprograms-UgoDalLago,4706.95429973
1,random2,Subtypingrecursivetypes-RobertoM.Amadio,3927.37392376
1,random2,Regularlyannotatedsetconstraints-JohnKodumal,2299.74023133
1,random2,Acomparisonofempiricalandmodel-drivenoptimization-KamenYotov,4112.32069917
1,random2,PADS:adomain-specificlanguageforprocessingadhocdata-KathleenFisher,4487.51814196
1,random2,Aretargetabledebugger-NormanRamsey,3971.36735651
1,random2,Extendednamingconventionsforcommunicatingprocesses-NissimFrancez,2291.863303
1,random2,Lineartypesforcomputationaleffects-AlexSimpson,2230.28165204
1,random2,Simpletranslationofgoal-directedevaluation-ToddA.Proebsting,2361.05281387
1,random2,Separationconstraintpartitioning:anewalgorithmforpartitioningnon-strictprogramsintosequentialthreads-KlausE.Schauser,2998.05247798
1,random2,Spreadsheettabletransformationsfromexamples-WilliamR.Harris,4931.38888701
1,random2,ProgramspecificationanddevelopmentinstandardML-DonaldSannella,3277.95523031
1,random2,Macro-by-example:Derivingsyntactictransformationsfromtheirspecifications-E.E.Kohlbecker,2407.52289222
1,random2,SymbolicAlgorithmsforLanguageEquivalenceandKleeneAlgebrawithTests-DamienPous,3078.20727353
1,random3,StaticcontractcheckingforHaskell-DanaN.Xu,4099.65430815
1,random3,Registerallocationovertheprogramdependencegraph-CindyNorris,4338.73706232
1,random3,Pattern-basedtreeattribution-CharlesFarnum,3904.11819974
1,random3,GCassertions:usingthegarbagecollectortocheckheapproperties-EdwardE.Aftandilian,3256.43748972
1,random3,Abstractionandinvarianceforalgebraicallyindexedtypes-RobertAtkey,4459.00355939
1,random3,Codegenerationforsilicon-S.C.Johnson,2246.12539416
1,random3,Apersonalperspectiveonconcurrency-JayadevMisra,2211.77081538
1,random3,Denotationalsemanticsusinganoperationally-basedtermmodel-MitchellWand,2232.98161462
1,random3,Shangri-La:achievinghighperformancefromcompilednetworkapplicationswhileenablingeaseofprogramming-MichaelK.Chen,4366.77120729
1,random3,Translationvalidationforanoptimizingcompiler-GeorgeC.Necula,2229.08228801
1,random3,Atomizer:adynamicatomicitycheckerformultithreadedprograms-CormacFlanagan,3675.75924488
1,random3,Analgorithmforoptimallambdacalculusreduction-JohnLamping,3505.04560566
1,random3,Sparsecodemotion-OliverRüthing,3742.0793777
1,random3,Lifetimeanalysisofdynamicallyallocatedobjects-C.Ruggieri,1052.93362473
1,random3,Probabilistic,3608.966209
1,random3,Isitatree,1462.92365721
1,random3,Customization:optimizingcompilertechnologyforSELF,4394.18545732
1,random3,Verifyingreachabilityinvariantsoflinkedstructures-GregNelson,2448.0077848
1,random3,AbstractionmechanismsintheBETAprogramminglanguage-BentBruunKristensen,2759.59401744
1,random3,Avirtualclasscalculus-ErikErnst,6140.74943628
1,random3,Usingmanagedruntimesystemstotolerateholesinwearablememories-TiejunGao,5194.24243345
1,random3,SPLLIFT:staticallyanalyzingsoftwareproductlinesinminutesinsteadofyears-EricBodden,1306.26418715
1,random3,Thesemanticsofprogramdependence-RobertCartwright,1930.82236861
1,random3,Batterytransitionsystems-UdiBoker,4701.02125205
1,random4,CakeML:averifiedimplementationofML-RamanaKumar,4756.11777228
1,random4,Anefficientinsertion-onlyerror-correctorforLL(1)parsers-C.N.Fischer,2597.54029607
1,random4,MathematicalsemanticsofSNOBOL4-R.D.Tennent,2295.71592974
1,random4,Inductivedefinitions,3461.86185117
1,random4,Onboundingtimeandspaceformultiprocessorgarbagecollection-GuyE.Blelloch,4428.68185335
1,random4,CML:Ahigherconcurrentlanguage-JohnH.Reppy,3089.22956161
1,random4,SuccinctRepresentationofConcurrentTraceSets-AshutoshGupta,4696.6818156
1,random4,Atypesystemforcertifiedbinaries-ZhongShao,5989.43609159
1,random4,ClarifyingandcompilingC/C++concurrency:fromC++11toPOWER-MarkBatty,4958.94486924
1,random4,Escapeanalysis:correctnessproof,1407.87683107
1,random4,Relocatingmachineinstructionsbycurrying-NormanRamsey,3604.9289828
1,random4,Optimizingdirectthreadedcodebyselectiveinlining-IanPiumarta,3749.47118163
1,random4,Typesasintervals-RobertCartwright,5467.13272237
1,random4,Lowerboundsontypeinferencewithsubtypes-MyHoang,3370.6163076
1,random4,Interproceduraldataflowanalysisinanexecutableoptimizer-DavidW.Goodwin,3118.61166564
1,random4,HALO:haskelltologicthroughdenotationalsemantics-DimitriosVytiniotis,3723.60297799
1,random4,Tamingcompilerfuzzers-YangChen,4897.47974372
1,random4,Alogicforexpressionswithside-effects-Hans-J.Boehm,2667.38770561
1,random4,MathematizingC++concurrency-MarkBatty,4355.71722294
1,random4,Callbyneedcomputationstoroot-stableform-AartMiddeldorp,2232.98161462
1,random4,Anabstractinterpretation-basedframeworkforsoftwarewatermarking-PatrickCousot,3438.55373302
1,random4,Transitionsinextendiblearrays-ArnoldL.Rosenberg,2377.78457613
1,random4,PolymorphicFunctionswithSet-TheoreticTypes:Part2:LocalTypeInferenceandTypeReconstruction-GiuseppeCastagna,6080.71232654
1,random4,GamesemanticsforinterfacemiddleweightJava-AndrzejS.Murawski,3366.14121504
1,random5,Permissionaccountinginseparationlogic-RichardBornat,3097.94226202
1,random5,Certifiedself-modifyingcode-HongxuCai,4758.63538277
1,random5,Usingparameterizedsignaturestoexpressmodularstructure-MarkP.Jones,4048.02705815
1,random5,Certifiedassemblyprogrammingwithembeddedcodepointers-ZhaozhongNi,3345.76632986
1,random5,Adynamicprogramanalysistofindfloating-pointaccuracyproblems-FlorianBenz,2987.21976965
1,random5,Parallelizationincalculationalforms-ZhenjiangHu,2852.96210205
1,random5,Dynamicsoftwareupdates:aVM-centricapproach-SuriyaSubramanian,3666.27767147
1,random5,AnalyzingProgramAnalyses-RobertoGiacobazzi,4069.03808897
1,random5,Localtypeinference-BenjaminC.Pierce,4020.08567164
1,random5,Flick:aflexible,3817.5498484
1,random5,FromPOPLtotheclassroomandback-MatthiasFelleisen,2195.5430418
1,random5,Realisticcompilationbypartialevaluation-MichaelSperber,2867.90459102
1,random5,FlowDroid:precisecontext,4734.06562924
1,random5,Provingthatprogramseventuallydosomethinggood-ByronCook,4696.20142064
1,random5,Randomizedaccuracy-awareprogramtransformationsforefficientapproximatecomputations-ZeyuanAllenZhu,4036.13019086
1,random5,Animprovementtobottom-uptreepatternmatching-D.R.Chase,2776.43784805
1,random5,Racedetectionforwebapplications-BorisPetrov,4314.26400015
1,random5,Puresubtypesystems-DeLesleyS.Hutchins,3223.70283783
1,random5,Aprobabilisticlanguagebaseduponsamplingfunctions-SungwooPark,4228.79479362
1,random5,Findingoptimumabstractionsinparametricdataflowanalysis-XinZhang,3679.10219567
1,random5,Languagesupportforregions-DavidGay,2963.71423124
1,random5,ReducingNoCenergyconsumptionthroughcompiler-directedchannelvoltagescaling-GuangyuChen,3568.46995587
