Year,ICFP # of papers,ICFP Topic 0,ICFP Topic 1,ICFP Topic 2,ICFP Topic 3,ICFP Topic 4,ICFP Topic 5,ICFP Topic 6,ICFP Topic 7,ICFP Topic 8,ICFP Topic 9,ICFP Topic 10,ICFP Topic 11,ICFP Topic 12,ICFP Topic 13,ICFP Topic 14,ICFP Topic 15,ICFP Topic 16,ICFP Topic 17,ICFP Topic 18,ICFP Topic 19
1997,41,1.95597100063,3.9453063334,8.24178059266,0.0731979458659,2.09993914916,0.0153865808,3.69493101309,1.6170320144,0.639944385954,0.694336404595,10.3177877524,0.771032863532,0.586600500746,7.3043499912,3.75653153742,0.0153865808,1.86281842434,2.28740185284,0.331525909534,0.120861026507
1996,24,0.0153865808,13.5455116745,7.60127928808,0.0153865808,9.87069354702,2.6405873452,1.80705324747,0.0153865808,3.65890506364,0.0153865808,5.53357213141,2.0020298752,0.0153865808,3.94834235821,2.99204457461,2.1273672265,0.0153865808,2.2653865808,7.58225263775,0.0153865808
1999,27,4.79107184943,9.57825481032,4.28592886169,0.0153865808,2.8735311797,1.3179516073,10.0168369778,14.3785145467,4.7190902845,0.339771804704,0.0153865808,2.56568129233,1.41686995453,3.53390509932,0.0153865808,2.38665789923,0.0153865808,4.38171633396,0.0153865808,2.60797917339
1998,45,2.15846099589,4.53113190245,6.71282265776,0.0153865808,0.0153865808,2.82528896468,0.587420900598,7.71015285564,6.51281913375,2.33257966235,0.217532988771,0.322715706631,2.83628682947,1.66396903068,2.60312078728,1.84775576301,1.62788302539,1.22690843677,0.810451937813,1.12743465321
2002,26,0.257104122288,2.74675489538,0.831941599865,5.01953496488,3.62052775353,0.0153865808,3.2246668109,10.2159826408,2.4701269904,5.1440103911,2.90443134021,10.0263069792,6.50983726808,2.51182356177,3.32307888849,9.95708007722,3.77493328313,2.83881492167,2.20769427311,0.0153865808
2003,26,0.263974126269,1.27853853943,3.83112439438,11.1692327346,0.0153865808,0.0153865808,6.38542356308,6.05383841238,0.707580189173,2.00326356352,4.24615581157,6.06818954069,4.34286900083,2.96110944164,8.94388499938,4.55384811926,0.0153865808,2.96211435694,2.7846270569,10.5904134081
2000,26,3.32058194425,6.18808557167,1.26310938646,0.0153865808,3.82271290767,6.43846350388,5.21030248164,10.0579383841,5.55124217977,1.01580391781,5.66923273465,0.313103681323,0.0153865808,7.71561044771,4.74615581157,0.0153865808,0.0153865808,3.36154042695,4.09230965772,0.0953768710038
2001,23,6.40877191689,0.1862231122,7.49364745037,9.4501691895,0.0153865808,0.0153865808,5.11329100626,4.92925070858,0.0153865808,0.380506515339,8.67856483915,9.72383660613,4.40669092863,0.0153865808,19.8414735373,4.5806039721,0.0153865808,4.83308272444,0.0153865808,0.0153865808
2006,26,1.67495528328,6.3386950013,5.33120297822,4.89187787569,4.7276980275,0.0153865808,5.48002399517,2.06327093746,3.47692504234,7.58905208609,1.2215821103,7.90136691573,5.83395099655,3.53823200645,11.2461558116,0.0153865808,0.669232734646,0.915809644319,4.16923273465,5.36154042695
2007,33,3.30375242182,1.8698875049,10.355474664,0.199800467227,6.29679883918,5.40673027013,4.7414258456,0.967060006245,0.0153865808,6.09096342081,9.08811790442,5.83887385158,0.0692378915333,4.00080469833,2.07599264141,7.19720476262,0.863871429285,3.80509892566,2.70904282594,2.563721816
2004,24,5.89637899217,3.35479670757,2.09056476814,3.7759838683,0.0153865808,0.42692858145,4.6403865808,2.16078567787,0.148541726792,6.40396235068,0.482254953283,4.7653865808,0.0851441442542,0.0153865808,0.0153865808,4.63788011569,6.39576311162,4.09871991413,3.9896109529,6.53348284712
2005,28,4.03077986542,2.94059805106,2.41131242729,0.249993296179,7.51762096031,4.6390757596,10.1844682063,7.5548623016,0.0824172947357,3.72967229509,0.455255611589,5.59763410919,18.8652736618,1.69551969342,4.00549172999,2.5153865808,2.65824372366,4.12982204544,2.66899495528,3.33959476152
2014,30,2.86941232889,1.10112186528,0.484467053597,5.34871991413,0.0153865808,2.41158485198,9.40927157765,4.68650426775,5.0153865808,8.15486312797,8.39445973773,4.2752181112,3.87548634186,4.14871991413,6.18205324747,8.57743532546,1.36924096345,0.0153865808,3.84871991413,8.95762666423
2008,51,2.68204113482,0.657584673198,0.0153865808,1.74087677688,11.3749216507,0.976170894525,3.26696193614,3.67422140017,4.55763337107,1.37375757593,0.669556332961,5.24818172173,3.74087677688,0.143983996745,6.05141759808,1.19185716904,2.01202554187,4.62704114312,7.56150134196,5.07506733268
2009,39,0.177456712818,0.652691321546,0.0153865808,0.0153865808,10.203096818,8.744355501,0.936746657956,4.1633915336,3.0629255554,9.95170447475,3.39725209157,5.16951998284,1.35302873672,4.66056050082,5.00689503257,0.305440705882,7.77693503584,1.81025837567,0.0153865808,3.76110770839
2011,39,6.52820709362,1.27179683721,0.0153865808,2.65922660284,1.93771678028,2.85914173371,12.7775637704,3.02410458886,2.22626943941,9.81076246668,2.14359170901,9.60827558738,9.51826360926,5.03405079894,6.71183986395,6.9901337625,4.4105888257,1.42564299106,1.52502382659,5.08655500424
2010,35,5.93588596087,0.0153865808,2.49368865875,0.0153865808,7.05955521062,1.3869430131,3.93249169042,2.14506638975,6.66264803159,4.83874108975,1.8110862552,5.97084900495,5.03653283801,1.20803559325,1.92967229509,5.40056641355,4.73944959743,6.40328997719,0.0153865808,8.67849842549
2013,41,10.140081823,2.00943249802,2.35525968662,0.0153865808,0.0153865808,7.47652506589,6.54519597323,0.0153865808,2.13733780031,9.57834246371,4.58318302365,3.15912210293,5.74481570126,0.0153865808,7.62318306202,0.339394734702,4.35684999543,7.96624832018,2.33245975153,2.02070450978
2012,34,2.78720259506,6.5153865808,1.46037375471,6.04493212022,6.80923071519,0.0153865808,3.9007171601,0.810539760932,1.89773952198,7.10012859826,6.70858862153,5.61378167831,3.86442625493,5.56587561497,1.96895889961,1.27528549144,1.43573704096,4.89880113324,3.92008250986,7.03808639484
