Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,1.60493387264e-14,136.888319512,169.123697806
1976,0.0,285.542666716,34.2220798779,124.361142777
1977,0.0,486.717438726,8.55551996949,204.611308355
1978,0.0,293.019360776,2.13887999237,117.700783648
1979,0.0,511.78395863,0.534719998093,158.021072009
1980,0.0,621.852508792,0.133679999523,197.904156166
1981,0.0,424.950933496,0.0334199998808,149.649279996
1982,0.0,458.951485381,0.0083549999702,112.858490584
1983,0.0,489.031515705,0.00208874999255,156.568329554
1984,0.0,474.32998664,0.000522187498138,105.052923547
1985,0.0,592.363382337,0.000130546874534,142.37256308
1986,0.0,522.835867053,3.26367186336e-05,168.675069834
1987,0.0,456.598823941,8.1591796584e-06,149.952459041
1988,591.45503133,491.64630968,159.237891636,121.397970208
1989,700.206756469,545.937294254,139.234757309,130.232015301
1990,652.008488522,567.88119939,146.778414713,116.596746457
1991,839.728694326,620.939795192,171.095187203,126.776044984
1992,734.43377234,497.802930468,152.453937306,119.06530481
1993,771.271493823,627.203045595,138.830996141,132.127717701
1994,721.744110021,615.911028049,148.021525055,109.551376374
1995,823.646268544,599.206533456,117.816053246,129.971804514
1996,816.622163693,756.826591041,201.665904535,176.387527423
1997,701.355173471,599.564416424,146.171713501,234.551655399
1998,756.93204459,894.826196188,147.720958907,233.29887248
1999,697.077339536,868.179953522,119.336746063,174.549415329
2000,430.375537286,714.666103672,127.457122243,154.255565965
2001,909.352643347,1117.41845126,186.377855645,265.674767421
2002,903.805617598,899.435215033,154.455305448,220.872443117
2003,1172.21691119,766.883978655,208.718621318,170.403732797
2004,777.759134892,865.944239894,135.750641252,193.169299953
2005,829.198372107,989.926743579,189.646510466,194.358144615
2006,1028.19147966,853.548876221,215.043799253,198.221419703
2007,861.441276535,560.647884667,190.395011988,136.584140879
2008,970.100104346,824.185788876,138.536870186,151.374934572
2009,1064.25087669,906.222128029,167.406067769,151.694923644
2010,1049.26639362,1012.61478333,187.255775571,158.995546987
2011,1048.71909421,796.051515781,202.981841978,156.618439353
2012,977.276188523,804.988430261,122.288529683,151.996313781
2013,836.112165318,921.311601705,186.008160438,156.538824311
2014,788.041956265,812.045069244,174.293480871,119.394429056
2015,547.553278047,801.042248562,266.648782085,140.624790585
