Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,1.99526684632e-15,6.00183143765,5.08198480498
1976,0.0,10.2854262361,1.50045785941,4.59470909039
1977,0.0,16.7705979501,0.375114464853,6.12087781267
1978,0.0,25.5211446851,0.0937786162132,8.21990673388
1979,0.0,10.2810871918,0.0234446540533,4.93109182543
1980,0.0,16.3687439426,0.00586116351333,5.06474787265
1981,0.0,14.9673849495,0.00146529087833,5.19222600417
1982,0.0,19.4113525665,0.000366322719583,5.22539548472
1983,0.0,32.8900006501,9.15806798957e-05,10.129722708
1984,0.0,16.0168214813,2.28951699739e-05,8.12911531776
1985,0.0,15.6530457249,5.72379249348e-06,3.00009807114
1986,0.0,13.0420441747,1.43094812337e-06,3.22054691517
1987,0.0,13.7565438345,3.57737030843e-07,3.27219790833
1988,31.7789828449,13.1660727269,8.55587991145,4.74889743735
1989,29.0543353983,13.6072991086,2.96061915013,3.70363501987
1990,27.235339416,15.2359437838,3.76594750205,2.7119873874
1991,20.2090832912,14.1807525678,3.65691091027,3.69572218118
1992,25.9493764697,14.3645301758,3.72578918174,3.69901772074
1993,23.2738497132,18.224047018,3.17418430042,4.16473024731
1994,24.6638069736,16.421490844,3.57523617049,2.52659644205
1995,22.0095205063,11.4882316634,2.79528847333,3.36969752579
1996,20.0011369806,13.1253462944,3.48564718673,3.68897469382
1997,22.8452304186,13.5205230945,3.23793582326,1.07157961864
1998,23.121586107,11.4600967089,3.63926801517,1.13383559253
1999,18.9496815773,12.1271017208,2.95908132606,2.03967492306
2000,22.278373461,13.1337354926,3.6295073909,4.07928300871
2001,20.5012099939,14.4037298533,3.93606397645,3.98064810272
2002,20.1934469841,13.6268263422,3.71664117877,4.08053291321
2003,19.9373434467,15.7580686519,4.56141824289,3.82036688894
2004,20.645271173,12.6530010814,5.12691067071,3.83204589131
2005,20.7906158561,13.9526728874,4.41967507761,3.42812195786
2006,24.7761566509,18.9612578076,4.79794434301,4.94866317433
2007,32.4833248118,14.8594457658,5.56243256449,3.4987266355
2008,24.3457648819,18.9355683499,4.43093335708,4.12223939785
2009,30.4289419995,19.4601765689,4.43012231562,4.02510483863
2010,29.54093359,20.4847621632,4.63705186372,4.74475909487
2011,37.0509447632,23.5027924844,5.22491413267,4.73604846317
2012,30.9103753192,20.6174710307,4.03446380863,3.14468621883
2013,28.2361478025,21.0904764858,3.54206877889,3.76898251686
2014,38.785551088,25.4436685365,4.94802020403,3.55118872222
2015,24.0073257506,25.5444753326,14.5877146827,3.32743837004
