Year,Conference,Title,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
2009,"PLDI","Staged information flow for javascript - Ravi Chugh, Jeffrey A. Meister, Ranjit Jhala, Sorin Lerner",0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,22.2262150412,57.8813734330,0.0375155771,0.0375155771,140.6340715209,660.5199391490,4952.2576707591,0.0375155771,761.7058235594,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771
2009,"PLDI","Laminar: practical fine-grained decentralized information flow control - Indrajit Roy, Donald E. Porter, Michael D. Bond, Kathryn S. McKinley, Emmett Witchel",0.0375155771,0.0375155771,641.7606780798,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,5820.3463819153,0.0375155771,0.0375155771,671.0054867362,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771
2009,"PLDI","Merlin: specification inference for explicit information flow problems - Benjamin Livshits, Aditya V. Nori, Sriram K. Rajamani, Anindya Banerjee",0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,1239.5461991563,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,3474.7848540495,0.0375155771,30.3085059821,0.0375155771,714.0287499766,0.0375155771,0.0375155771,197.5192687209,0.0375155771
2009,"PLDI","TAJ: effective taint analysis of web applications - Omer Tripp, Marco Pistoia, Stephen J. Fink, Manu Sridharan, Omri Weisman",0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,337.2677502886,2994.1622017965,0.0375155771,867.3724519525,0.0375155771,198.7081762406,0.0375155771,990.6769976072,0.0375155771,0.0375155771
2009,"PLDI","Lightweight annotations for controlling sharing in concurrent data structures - Zachary R. Anderson, David Gay, Mayur Naik",159.4301573878,18.0498060452,611.5175740229,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,129.0253643197,1522.9134098134,126.9180590339,0.0375155771,0.0375155771,2657.3498306619,109.4280841543,0.0375155771,127.7053547548,0.0375155771,0.0375155771
2009,"PLDI","A randomized dynamic program analysis technique for detecting real deadlocks - Pallavi Joshi, Chang-Seo Park, Koushik Sen, Mayur Naik",0.0375155771,0.0375155771,29.5372013497,0.0375155771,0.0375155771,150.1627845748,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,1595.8335379027,0.0375155771,0.0375155771,3069.6165384812,0.0375155771,0.0375155771
1975,"POPL","Application of lattice algebra to loop optimization - Amelia Fong, John Kam, Jeffrey Ullman",0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,71.1557223433,0.0375155771,0.0375155771,89.8558675564,0.0375155771,0.0375155771,1600.2728119828,0.0375155771,0.0375155771,111.8656604260,0.0375155771
1975,"POPL","Node listings applied to data flow analysis - K. W. Kennedy",0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,51.8657992659,0.0375155771,0.0375155771,2962.2092318883,0.0375155771,0.0375155771,0.0375155771,0.0375155771
1975,"POPL","A description of path expressions by Petri nets - P. E. Lauer, R. H. Campbell",0.0375155771,0.0375155771,0.0375155771,0.0375155771,61.9940739923,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,113.2521552155,0.0375155771,0.0375155771,424.6565481673,2019.2139761307,0.0375155771,0.0375155771,109.0708243797
1975,"POPL","Even simple programs are hard to analyze - Neil D. Jones, Steven S. Muchnick",0.0375155771,0.0375155771,0.0375155771,238.4493818907,0.0375155771,0.0375155771,77.1239612133,0.0375155771,0.0375155771,0.0375155771,0.0375155771,0.0375155771,624.2941303137,0.0375155771,24.3175673993,0.0375155771,0.0375155771,0.0375155771,610.6674616382,1531.3725910074
