Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,2.44050172561e-14,70.5767606469,132.230407945
1976,0.0,299.738306618,17.6441901617,135.16372151
1977,0.0,369.789176995,4.41104754043,153.26095911
1978,0.0,416.695050406,1.10276188511,139.78514486
1979,0.0,359.78037377,0.275690471277,129.983711922
1980,0.0,451.155408666,0.0689226178192,141.333464799
1981,0.0,458.498056878,0.0172306544548,126.924567899
1982,0.0,423.703585366,0.0043076636137,133.334919102
1983,0.0,515.743880347,0.00107691590343,160.903416975
1984,0.0,424.031447664,0.000269228975856,130.497635505
1985,0.0,465.819234166,6.73072439641e-05,139.058561865
1986,0.0,597.564515267,1.6826810991e-05,152.994453148
1987,0.0,500.361380691,4.20670274776e-06,159.214003943
1988,536.483570384,477.270380341,144.437883817,144.359924206
1989,597.546742709,538.344375147,167.112810706,145.654253649
1990,576.264295467,573.140718543,144.520118586,150.494090979
1991,643.046458905,602.152659808,178.636936422,166.628296942
1992,548.986480241,543.430556894,149.056922893,158.053386537
1993,567.655473632,510.782158713,132.089211021,141.762438716
1994,638.095077812,522.808735549,160.707539089,114.970733784
1995,612.044444501,544.725762073,140.243919018,134.15326746
1996,659.394609686,675.30413917,198.20611889,177.622676572
1997,611.94269452,343.685119048,178.914733529,165.436900458
1998,584.840907795,737.665217166,167.865704857,192.640219518
1999,720.342773612,865.618063655,198.115952493,184.960614471
2000,470.996554464,708.164750608,183.241980075,213.641983341
2001,686.708213688,996.754449276,179.485851596,270.74974765
2002,872.458449446,823.042965152,230.74394839,270.400899189
2003,837.072362113,653.802487904,229.380220122,214.732599876
2004,716.008396972,612.04259968,205.606583599,168.983234619
2005,720.636487886,682.106403726,201.370747829,181.958923181
2006,846.91829378,712.857519292,221.966804604,176.46680153
2007,657.325909265,511.956463264,188.727613229,172.730249991
2008,774.528506748,697.073844128,182.421876495,181.551416558
2009,779.813159223,672.11210782,202.871916754,158.914970031
2010,768.600584712,694.181729028,191.98390892,165.006700244
2011,754.079752092,619.748755591,205.150540173,153.088407062
2012,766.711479645,672.623291289,157.862165204,163.902850076
2013,619.916668471,686.617546792,185.881868002,167.330878223
2014,614.171035185,709.16240194,159.611303586,160.580795274
2015,282.307042588,685.771918443,164.134766272,171.796613582
