Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,2.09543371592e-14,100.116875231,140.609667112
1976,0.0,309.86347552,25.0292188077,138.581675782
1977,0.0,430.951164349,6.25730470193,172.629549655
1978,0.0,331.925394637,1.56432617548,107.260406039
1979,0.0,378.614825954,0.391081543871,117.388265212
1980,0.0,494.980077269,0.0977703859676,138.934990616
1981,0.0,427.103637003,0.0244425964919,135.942027198
1982,0.0,440.524067231,0.00611064912298,136.585025695
1983,0.0,506.863452084,0.00152766228074,170.051437462
1984,0.0,391.047592015,0.000381915570186,111.7944407
1985,0.0,470.271955313,9.54788925465e-05,126.788919219
1986,0.0,627.763150585,2.38697231366e-05,164.593477998
1987,0.0,512.904057711,5.96743078416e-06,155.15941115
1988,559.025287431,519.591231528,150.506807247,149.38063678
1989,650.217208074,490.376911797,128.275338465,117.331332709
1990,678.760320912,582.580884388,148.837213699,157.350549226
1991,689.556774187,521.274520893,178.397812818,129.903185821
1992,632.030226048,486.059167718,141.863869034,102.293355246
1993,717.382269372,561.710032039,128.535068942,123.240706102
1994,670.857192234,615.031444352,163.638265583,103.337558524
1995,748.663715294,517.042266002,119.552703467,136.841870587
1996,651.492099257,728.420125658,190.96035741,166.89092191
1997,615.016904107,456.032310583,147.192400366,196.546810396
1998,652.867271202,801.719542186,151.064164341,207.846569812
1999,664.33265726,832.580768543,171.340609274,162.083614944
2000,490.987404738,729.280137681,175.416808438,174.218703701
2001,709.086140604,1043.7131533,194.614555299,258.932436303
2002,889.290586819,755.04908219,197.907496215,236.987698382
2003,832.572909525,642.333494411,159.264186917,160.541360517
2004,715.388480517,724.939011166,176.584419068,182.297823827
2005,789.76455662,721.988802509,204.28048079,153.083019564
2006,869.139178489,764.221291629,219.832381013,165.3971632
2007,740.346660908,509.715877036,187.606917666,146.213084959
2008,843.417574478,814.817896277,182.053043791,179.654028336
2009,1026.47730862,719.7557965,219.312527446,158.136408898
2010,916.606869695,898.123964758,201.733159542,153.620567007
2011,846.45098322,684.008754342,204.756795764,164.679517045
2012,865.446452029,733.848064396,152.513295626,150.429372838
2013,709.130047958,781.57561088,181.232561702,144.337838994
2014,665.67052074,716.236581165,158.699564639,149.434968922
2015,400.467500923,717.699501728,203.372453404,141.207786836
