Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,9.16104823364e-16,6.77198170466,5.51867253397
1976,0.0,8.81898161299,1.69299542617,4.0471460373
1977,0.0,11.6458570186,0.423248856542,4.66053037831
1978,0.0,20.2138540818,0.105812214135,6.52355302304
1979,0.0,15.5536028952,0.0264530535338,7.468689205
1980,0.0,20.6860600757,0.00661326338346,4.64134752235
1981,0.0,15.6761006254,0.00165331584587,4.86964867028
1982,0.0,22.3027579619,0.000413328961466,5.36088287035
1983,0.0,41.4024522976,0.000103332240367,12.1868372446
1984,0.0,14.2450544825,2.58330600916e-05,8.65157014072
1985,0.0,17.7115774148,6.45826502291e-06,2.82065996476
1986,0.0,15.7521817218,1.61456625573e-06,2.64929271273
1987,0.0,18.5571467061,4.03641563932e-07,3.56395382395
1988,33.1392836159,16.2179649576,8.92211472505,4.47119285319
1989,30.7885684236,15.5781206656,3.64291761487,3.26849743244
1990,29.5525926205,17.9219075493,3.67027681195,3.75983818221
1991,20.2154338033,18.4316879364,4.70240995592,4.22815415645
1992,30.0630254696,14.032277899,5.27483786389,3.71180926261
1993,25.2871519894,19.8286959021,2.3196781228,4.06979668311
1994,31.2727604401,17.2222908035,3.39555301871,2.19896090347
1995,29.023454314,11.4509565035,2.6313083765,3.26641249736
1996,30.1400090234,17.1476311741,5.1390303237,4.4792992293
1997,28.358436941,17.2713147601,3.83091742399,1.26554837851
1998,28.1410273018,15.3843908148,3.08085215597,1.15043832984
1999,26.7913171523,15.464103948,4.2216521942,2.03577809306
2000,24.5293793965,17.2105034539,4.2740481868,5.50035521302
2001,23.1344184605,15.3853015175,3.48448310169,3.62244182353
2002,24.7287130377,15.0759902284,4.1834290064,3.35070484923
2003,24.8387718741,16.9831152134,5.51147876719,4.64511563603
2004,21.3925891121,13.3055870129,4.50706424503,3.64685263869
2005,30.7326211515,13.9263624515,5.7454722167,2.81401124061
2006,28.9225458594,20.8191497672,5.02515038171,4.60764625606
2007,37.4459408058,14.7071701287,4.67241306734,2.7885852723
2008,29.4462763599,21.5260562576,3.21211368467,3.84137556432
2009,34.6771004015,18.4809510096,2.97156645453,4.77617863446
2010,30.8192843733,24.7711339979,3.27125084795,4.51275602232
2011,40.7241128982,25.2493142561,5.73721759472,4.77223891173
2012,30.8226641448,21.7574419078,3.6180919059,3.84447167152
2013,28.6072655019,22.3871287986,2.85655569467,3.47729704497
2014,39.0926060361,25.2773115196,3.57812601098,3.73207407279
2015,27.0879268187,26.3359814094,15.3720476747,3.09317175537
