Year,PLDI Error (CMA),POPL Error (CMA),PLDI Error (EMA),POPL Error (EMA)
1975,0.0,7.26987818279e-16,5.81617018856,4.85149807773
1976,0.0,9.24168576745,1.45404254714,4.04482239329
1977,0.0,15.7989039908,0.363510636785,5.59974436603
1978,0.0,21.2574652427,0.0908776591963,7.08875411129
1979,0.0,11.2211665685,0.0227194147991,4.24172365534
1980,0.0,19.5796843061,0.00567985369977,6.4549501388
1981,0.0,13.6085076259,0.00141996342494,4.53431199281
1982,0.0,15.7520039007,0.000354990856236,4.93561769611
1983,0.0,35.6759447452,8.87477140589e-05,10.1509668974
1984,0.0,11.2885722866,2.21869285147e-05,7.79031792394
1985,0.0,11.265247106,5.54673212868e-06,2.98072009352
1986,0.0,11.4471403027,1.38668303217e-06,2.7200458156
1987,0.0,10.4811415298,3.46670758043e-07,2.55211301061
1988,31.1414400048,12.3913506846,8.38423376446,4.01749193708
1989,28.4733481743,9.96542033177,3.31132957885,3.28475761758
1990,26.5938597072,12.713459503,3.69412851043,2.79206664833
1991,20.1854710493,9.6711935494,3.2282811643,3.06854471206
1992,24.5824271135,11.4582086875,3.32745596097,2.68649478731
1993,22.3212525527,17.0331296589,3.02930134219,3.87708798139
1994,24.4498949219,13.6791327661,3.97321882622,2.16464716524
1995,20.7098488061,11.1485826698,2.47001208161,2.89689814316
1996,22.6995018472,9.12139891576,4.62284545695,2.71750309927
1997,22.1875825032,10.2789765037,3.50257021457,0.943127774968
1998,23.0879484026,7.76022380848,3.46553285104,1.13662877965
1999,21.0369376838,8.81595978419,4.88231232938,2.0361797125
2000,22.2595218707,10.345314092,4.49839687411,3.29992258498
2001,19.205960574,13.4904381998,3.63390679135,3.78844760818
2002,21.6094769924,11.2895554666,4.66694281003,3.17572505154
2003,19.2836285761,14.3892345526,4.16601592587,3.84250633589
2004,17.844659614,9.91876696244,4.67644752326,3.36747056784
2005,21.1690804541,10.4329806793,4.70719233271,2.76053145953
2006,23.7975722245,14.8676661435,4.55317112217,4.11916714227
2007,30.6906247752,14.4220901576,4.87678501475,3.35526353639
2008,21.3808062972,15.3188072849,4.65560766226,3.69243510346
2009,28.0366459955,15.7913477352,4.40373382562,3.83929251466
2010,28.4562914309,17.8287711483,4.39679209948,3.87683182271
2011,37.093154689,23.6307833035,5.63117806564,4.95507520883
2012,30.4237247593,20.724350339,3.61487919956,3.76870958288
2013,28.4989969766,19.7694688912,3.89897435142,3.56794206361
2014,37.9036250575,24.344752951,4.61904704422,3.32818379285
2015,23.2646807543,24.1663081484,14.3416890505,3.14882244144
